gene,msi,component,r,r_abs
Nnat,mz.592.09793,6,0.27963668,0.27963668
Mef2c,mz.297.070615,6,-0.27954853,0.27954853
Rgs4,mz.560.1485299999999,6,-0.27763146,0.27763146
Adcy1,mz.516.190135,6,-0.27654442,0.27654442
Mef2c,mz.592.0904700000001,6,-0.27634728,0.27634728
Mef2c,mz.258.110295,6,-0.27586251,0.27586251
Mef2c,mz.562.323125,6,-0.27406675,0.27406675
Plp1,mz.592.0904700000001,6,0.27287245,0.27287245
Scn1b,mz.592.09793,6,-0.27243552,0.27243552
Adcy1,mz.258.110295,6,-0.27226704,0.27226704
Mef2c,mz.296.06595500000003,6,-0.27031758,0.27031758
Plp1,mz.296.06595500000003,6,0.2693764,0.2693764
Adcy1,mz.592.0904700000001,6,-0.2675922,0.2675922
Mef2c,mz.297.069625,6,-0.26661456,0.26661456
Rgs4,mz.297.070615,6,-0.2663718,0.2663718
Mbp,mz.297.070615,6,0.26561186,0.26561186
Olfm1,mz.516.190135,6,-0.264948,0.264948
Adcy1,mz.296.06595500000003,6,-0.2635614,0.2635614
Vxn,mz.516.190135,6,-0.26170903,0.26170903
Plp1,mz.297.069625,6,0.26155496,0.26155496
Mef2c,mz.298.06399999999996,6,-0.26138088,0.26138088
Zbtb20,mz.258.110295,6,0.26052582,0.26052582
Adcy1,mz.298.062905,6,-0.26025563,0.26025563
Zbtb20,mz.516.190135,6,0.2596818,0.2596818
Mef2c,mz.394.12496,6,-0.25954333,0.25954333
Mef2c,mz.298.062905,6,-0.25942424,0.25942424
Plp1,mz.298.06399999999996,6,0.25885588,0.25885588
Olfm1,mz.297.070615,6,-0.25865,0.25865
Adcy1,mz.298.06399999999996,6,-0.25836986,0.25836986
Mobp,mz.297.070615,6,0.25816292,0.25816292
Plp1,mz.298.062905,6,0.25810182,0.25810182
Rgs7bp,mz.280.092375,6,-0.25641608,0.25641608
Adcy1,mz.394.12496,6,-0.25611258,0.25611258
Adcy1,mz.297.069625,6,-0.25558212,0.25558212
Mef2c,mz.297.06824,6,-0.25525427,0.25525427
Olfm1,mz.258.110295,6,-0.2551398,0.2551398
Rgs4,mz.258.110295,6,-0.2545397,0.2545397
Mef2c,mz.298.065095,6,-0.25433332,0.25433332
Adcy1,mz.297.070615,6,-0.2532403,0.2532403
Rgs4,mz.394.12496,6,-0.25313604,0.25313604
Vxn,mz.258.110295,6,-0.25278988,0.25278988
Rgs7bp,mz.258.110295,6,-0.25218132,0.25218132
Rgs4,mz.296.06595500000003,6,-0.251743,0.251743
Olfm1,mz.592.0904700000001,6,-0.25158244,0.25158244
Plp1,mz.298.065095,6,0.2513448,0.2513448
Olfm1,mz.297.069625,6,-0.2503171,0.2503171
Olfm1,mz.296.06595500000003,6,-0.25005105,0.25005105
Efnb3,mz.297.070615,6,0.24913546,0.24913546
Rgs4,mz.592.0904700000001,6,-0.24909991,0.24909991
Rgs4,mz.281.09517,6,-0.2482527,0.2482527
Scn1b,mz.562.323125,6,-0.24820232,0.24820232
Rgs4,mz.297.069625,6,-0.24803036,0.24803036
Rgs7bp,mz.560.1485299999999,6,-0.24768959,0.24768959
Pvalb,mz.516.190135,6,-0.24768159,0.24768159
Rgs4,mz.516.190135,6,-0.24766889,0.24766889
Zbtb20,mz.259.11330999999996,6,0.24756011,0.24756011
Adcy1,mz.297.06824,6,-0.24729824,0.24729824
Mbp,mz.592.0904700000001,6,0.24711868,0.24711868
Rgs7bp,mz.516.190135,6,-0.2466665,0.2466665
Mef2c,mz.560.1485299999999,6,-0.2465826,0.2465826
Ppp3ca,mz.297.070615,6,-0.24654895,0.24654895
Olfm1,mz.394.12496,6,-0.24645755,0.24645755
Adcy1,mz.259.11330999999996,6,-0.24630463,0.24630463
Pvalb,mz.258.110295,6,-0.24566428,0.24566428
Adcy1,mz.298.065095,6,-0.24544366,0.24544366
Apod,mz.297.070615,6,0.24448717,0.24448717
Mobp,mz.592.0904700000001,6,0.24442345,0.24442345
Mef2c,mz.259.11330999999996,6,-0.24359128,0.24359128
Olfm1,mz.298.06399999999996,6,-0.24345514,0.24345514
Plp1,mz.297.06824,6,0.243139,0.243139
Rgs4,mz.298.06399999999996,6,-0.24306494,0.24306494
Mbp,mz.296.06595500000003,6,0.24289183,0.24289183
Mobp,mz.296.06595500000003,6,0.24270946,0.24270946
Olfm1,mz.298.062905,6,-0.24221328,0.24221328
Zbtb20,mz.259.113915,6,0.24202642,0.24202642
Rgs7bp,mz.297.070615,6,-0.24119976,0.24119976
Zbtb20,mz.592.0904700000001,6,0.2408345,0.2408345
Olfm1,mz.562.323125,6,-0.24066389,0.24066389
Mef2c,mz.592.09793,6,-0.2402932,0.2402932
Rgs4,mz.298.062905,6,-0.24024978,0.24024978
Efnb3,mz.592.0904700000001,6,0.23985022,0.23985022
Mef2c,mz.280.092375,6,-0.23962629,0.23962629
Olfm1,mz.297.06824,6,-0.2395195,0.2395195
Rgs4,mz.298.065095,6,-0.23937494,0.23937494
Zbtb20,mz.296.06595500000003,6,0.23918502,0.23918502
Efnb3,mz.296.06595500000003,6,0.23908283,0.23908283
Plp1,mz.592.09793,6,0.23830856,0.23830856
Slc30a3,mz.562.323125,6,-0.23792124,0.23792124
Rgs7bp,mz.296.06595500000003,6,-0.23733619,0.23733619
Nptxr,mz.297.070615,6,-0.23717055,0.23717055
Olfm1,mz.259.11330999999996,6,-0.2371225,0.2371225
Adcy1,mz.259.113915,6,-0.23709695,0.23709695
Mbp,mz.298.062905,6,0.23683146,0.23683146
Vxn,mz.562.323125,6,-0.23671928,0.23671928
Zbtb20,mz.297.069625,6,0.23670422,0.23670422
Sv2b,mz.516.190135,6,-0.23629703,0.23629703
Rgs7bp,mz.592.0904700000001,6,-0.23620509,0.23620509
Zbtb20,mz.297.070615,6,0.23604919,0.23604919
Rgs4,mz.297.06824,6,-0.23599869,0.23599869
Mobp,mz.297.069625,6,0.23576906,0.23576906
Mbp,mz.297.069625,6,0.2356406,0.2356406
Ptgds,mz.297.070615,6,0.2355023,0.2355023
Zbtb20,mz.298.06399999999996,6,0.23524675,0.23524675
Mobp,mz.298.062905,6,0.23498389,0.23498389
Mef2c,mz.259.113915,6,-0.23477878,0.23477878
Rgs7bp,mz.281.09517,6,-0.23418647,0.23418647
Slc30a3,mz.297.070615,6,-0.23418099,0.23418099
Olfm1,mz.298.065095,6,-0.23397908,0.23397908
Ppp3ca,mz.296.06595500000003,6,-0.23299071,0.23299071
Mbp,mz.298.06399999999996,6,0.23292111,0.23292111
