gene,msi,component,r,r_abs
Thbs4,mz.266.80385,6,0.18835843,0.18835843
Apod,mz.463.998265,6,0.18807867,0.18807867
Wfs1,mz.284.77471,6,-0.18795384,0.18795384
Fth1,mz.360.7937,6,0.18720959,0.18720959
Tppp3,mz.301.764925,6,0.18690109,0.18690109
Apod,mz.282.77783,6,0.18683627,0.18683627
Mbp,mz.228.965125,6,0.18666819,0.18666819
Thbs4,mz.537.574345,6,0.18659434,0.18659434
Thbs4,mz.463.998265,6,0.18652001,0.18652001
Fth1,mz.154.88083999999998,6,0.18634565,0.18634565
Hap1,mz.342.00199,6,-0.186009,0.186009
Mbp,mz.505.96179,6,0.18591575,0.18591575
Fth1,mz.467.972585,6,0.18573982,0.18573982
Tmem130,mz.342.00199,6,-0.18538979,0.18538979
Thbs4,mz.268.80102,6,0.18502313,0.18502313
Wfs1,mz.282.77783,6,-0.18499683,0.18499683
Wfs1,mz.286.77187000000004,6,-0.18485597,0.18485597
Clu,mz.565.525445,6,0.18462184,0.18462184
Apod,mz.284.77471,6,0.18452492,0.18452492
Dbi,mz.346.817085,6,0.18450339,0.18450339
Tppp3,mz.282.77783,6,0.18404326,0.18404326
Thbs4,mz.272.79503,6,0.18341108,0.18341108
Cryab,mz.284.77471,6,0.18328974,0.18328974
Clu,mz.150.88660499999997,6,0.18273398,0.18273398
Wfs1,mz.288.768965,6,-0.18263899,0.18263899
Dbi,mz.326.75938,6,0.18262306,0.18262306
Tppp3,mz.150.88660499999997,6,0.18249592,0.18249592
Tppp3,mz.565.525445,6,0.18221626,0.18221626
Gng5,mz.210.84250500000002,6,0.18220778,0.18220778
Wfs1,mz.301.764925,6,-0.1815794,0.1815794
Clu,mz.569.518775,6,0.18137868,0.18137868
Tppp3,mz.305.75867,6,0.18102828,0.18102828
Wfs1,mz.305.75867,6,-0.18097493,0.18097493
Cryab,mz.342.00199,6,0.18093988,0.18093988
Gng5,mz.342.73335,6,0.18078999,0.18078999
Tppp3,mz.152.883785,6,0.18078515,0.18078515
Wfs1,mz.152.883785,6,-0.180682,0.180682
Apod,mz.565.525445,6,0.18023151,0.18023151
Clu,mz.150.886795,6,0.18020993,0.18020993
Apod,mz.288.768965,6,0.18020146,0.18020146
Wfs1,mz.569.518775,6,-0.18018991,0.18018991
Gng5,mz.421.939095,6,0.18008913,0.18008913
Mbp,mz.342.00199,6,0.17985795,0.17985795
Cryab,mz.286.77187000000004,6,0.17974794,0.17974794
Sept4,mz.171.006475,6,0.17967112,0.17967112
Wfs1,mz.421.939095,6,-0.17954597,0.17954597
Thbs4,mz.533.58042,6,0.1794506,0.1794506
Wfs1,mz.565.525445,6,-0.17937525,0.17937525
Bcas1,mz.171.006475,6,0.17933618,0.17933618
Pdyn,mz.171.006475,6,-0.17901605,0.17901605
Cryab,mz.288.768965,6,0.17893733,0.17893733
Trf,mz.463.998265,6,0.17880622,0.17880622
Cryab,mz.569.518775,6,0.17873272,0.17873272
Thbs4,mz.270.798065,6,0.17863081,0.17863081
Ahi1,mz.342.00199,6,-0.17858374,0.17858374
Wfs1,mz.150.886795,6,-0.17835705,0.17835705
Cryab,mz.282.77783,6,0.17819653,0.17819653
Wfs1,mz.150.88660499999997,6,-0.17803188,0.17803188
Mbp,mz.150.88660499999997,6,0.17795834,0.17795834
Wfs1,mz.573.512445,6,-0.17789152,0.17789152
Sept4,mz.228.965125,6,0.17787148,0.17787148
Clu,mz.152.883785,6,0.17782862,0.17782862
Apod,mz.569.518775,6,0.177771,0.177771
Tppp3,mz.150.886795,6,0.17760837,0.17760837
Mbp,mz.421.939095,6,0.17715697,0.17715697
Ahi1,mz.228.965125,6,-0.17715234,0.17715234
