gene,msi,component,r,r_abs
Rasd2,mz.287.173085,7,0.4282974,0.4282974
Rasd2,mz.348.92984,7,0.42780402,0.42780402
Ppp1r1b,mz.348.93134,7,0.42697012,0.42697012
Pcp4l1,mz.240.12396999999999,7,0.42645046,0.42645046
Rgs9,mz.863.68026,7,0.42551768,0.42551768
Pde10a,mz.369.025065,7,0.42541757,0.42541757
Rgs9,mz.364.90382,7,0.42517853,0.42517853
Penk,mz.366.90242,7,0.4249034,0.4249034
Ppp1r1b,mz.348.92984,7,0.42490202,0.42490202
Pde1b,mz.217.9387,7,0.4224472,0.4224472
Penk,mz.163.97838,7,0.42207056,0.42207056
Pcp4l1,mz.240.122615,7,0.42146558,0.42146558
Ppp1r1b,mz.762.473255,7,0.42105317,0.42105317
Rgs9,mz.364.90545999999995,7,0.42101526,0.42101526
Gpr88,mz.366.90242,7,0.42003238,0.42003238
Pde10a,mz.837.66747,7,0.42001945,0.42001945
Pde10a,mz.222.02953,7,0.41957298,0.41957298
Slc17a7,mz.837.66747,7,-0.418558,0.418558
Rgs9,mz.241.12645,7,0.41724777,0.41724777
Rasd2,mz.348.92861500000004,7,0.4162448,0.4162448
Gpr88,mz.762.473255,7,0.41600317,0.41600317
Rgs9,mz.364.902325,7,0.41556326,0.41556326
Rasd2,mz.863.68026,7,0.414477,0.414477
Pde10a,mz.241.12645,7,0.41424224,0.41424224
Cck,mz.837.66747,7,-0.41423047,0.41423047
Pcp4,mz.364.90545999999995,7,0.4125733,0.4125733
Ppp1r1b,mz.217.9387,7,0.41232255,0.41232255
Ppp1r1b,mz.348.92861500000004,7,0.4109242,0.4109242
Rgs9,mz.369.025065,7,0.41061878,0.41061878
Adora2a,mz.240.123325,7,0.4099949,0.4099949
Rgs9,mz.348.92984,7,0.4098314,0.4098314
Pcp4,mz.364.90382,7,0.40806034,0.40806034
Pde1b,mz.366.90242,7,0.40751138,0.40751138
Rgs9,mz.348.93134,7,0.4066508,0.4066508
Rasd2,mz.384.99937,7,0.40576255,0.40576255
Adora2a,mz.240.122615,7,0.40555772,0.40555772
Rgs9,mz.348.92861500000004,7,0.40285367,0.40285367
Slc17a7,mz.287.173085,7,-0.40256375,0.40256375
Rasd2,mz.241.12645,7,0.40148413,0.40148413
Pde1b,mz.163.97838,7,0.40130448,0.40130448
Gpr88,mz.163.97838,7,0.40126777,0.40126777
Rasd2,mz.837.66747,7,0.40091914,0.40091914
Drd2,mz.240.123325,7,0.40076166,0.40076166
Gng7,mz.240.123325,7,0.4006359,0.4006359
Scn4b,mz.364.90382,7,0.40026858,0.40026858
Rasd2,mz.222.02953,7,0.39964774,0.39964774
Olfm1,mz.287.173085,7,-0.3996148,0.3996148
Scn4b,mz.240.123325,7,0.39949834,0.39949834
Pcp4l1,mz.863.68026,7,0.39912727,0.39912727
Adcy5,mz.222.02953,7,0.39862043,0.39862043
Rasd2,mz.366.90242,7,0.3982097,0.3982097
Drd2,mz.240.122615,7,0.39763737,0.39763737
Pde10a,mz.366.90242,7,0.39697248,0.39697248
Slc17a7,mz.863.68026,7,-0.3968823,0.3968823
Gng7,mz.240.12396999999999,7,0.3968305,0.3968305
Cck,mz.369.025065,7,-0.39639938,0.39639938
Scn4b,mz.240.122615,7,0.39585173,0.39585173
Pcp4,mz.364.902325,7,0.39559096,0.39559096
Pde1b,mz.762.473255,7,0.39552963,0.39552963
Olfm1,mz.241.12645,7,-0.39548516,0.39548516
Rasd2,mz.369.025065,7,0.39483675,0.39483675
Crym,mz.762.473255,7,0.39462292,0.39462292
Adora2a,mz.240.12396999999999,7,0.39387453,0.39387453
Rgs9,mz.217.9387,7,0.39377615,0.39377615
Olfm1,mz.369.025065,7,-0.39346576,0.39346576
Gng7,mz.240.122615,7,0.39312717,0.39312717
Pcp4,mz.222.02953,7,0.39295906,0.39295906
Scn4b,mz.364.90545999999995,7,0.3928954,0.3928954
Olfm1,mz.837.66747,7,-0.39287198,0.39287198
Scn4b,mz.287.173085,7,0.392824,0.392824
Penk,mz.201.964465,7,0.39239293,0.39239293
Adcy5,mz.837.66747,7,0.39228818,0.39228818
Ppp1r1b,mz.366.90242,7,0.39174518,0.39174518
Pcp4,mz.241.12645,7,0.39119765,0.39119765
Slc17a7,mz.369.025065,7,-0.3898814,0.3898814
Scn4b,mz.364.902325,7,0.38948667,0.38948667
Gpr88,mz.201.964465,7,0.38932902,0.38932902
Scn4b,mz.240.12396999999999,7,0.38739806,0.38739806
Adcy5,mz.287.173085,7,0.38730592,0.38730592
Rgs9,mz.366.90242,7,0.38590342,0.38590342
Pcp4,mz.348.92984,7,0.38416144,0.38416144
Arpp21,mz.240.123325,7,0.3840485,0.3840485
Adcy5,mz.863.68026,7,0.3827634,0.3827634
Pcp4l1,mz.837.66747,7,0.38250014,0.38250014
Pcp4,mz.348.93134,7,0.38168642,0.38168642
Adora2a,mz.287.173085,7,0.3816195,0.3816195
Pcp4l1,mz.287.173085,7,0.3814466,0.3814466
Arpp21,mz.762.473255,7,0.38127893,0.38127893
Tac1,mz.240.12396999999999,7,0.3812495,0.3812495
Pcp4,mz.201.934135,7,0.38099805,0.38099805
Cck,mz.863.68026,7,-0.3807494,0.3807494
Drd2,mz.240.12396999999999,7,0.38054198,0.38054198
Arpp21,mz.240.122615,7,0.38038585,0.38038585
Cck,mz.287.173085,7,-0.38034832,0.38034832
Penk,mz.201.934135,7,0.3781932,0.3781932
Arpp21,mz.222.02953,7,0.37805605,0.37805605
Adora2a,mz.863.68026,7,0.3779836,0.3779836
Pcp4l1,mz.222.02953,7,0.377733,0.377733
Adora2a,mz.364.90382,7,0.3769444,0.3769444
Scn4b,mz.348.92984,7,0.3765714,0.3765714
Scn4b,mz.348.93134,7,0.37611717,0.37611717
Arpp21,mz.287.173085,7,0.3760377,0.3760377
Pcp4,mz.348.92861500000004,7,0.37603575,0.37603575
Pcp4,mz.403.84944,7,0.37525123,0.37525123
Arpp21,mz.217.9387,7,0.37440908,0.37440908
Pde10a,mz.217.9387,7,0.37437087,0.37437087
Arpp21,mz.240.12396999999999,7,0.3740755,0.3740755
Pde10a,mz.163.97838,7,0.37363696,0.37363696
Tac1,mz.240.123325,7,0.37322775,0.37322775
Pcp4,mz.393.91748,7,0.37252587,0.37252587
Adora2a,mz.837.66747,7,0.37243366,0.37243366
Penk,mz.403.84944,7,0.3722195,0.3722195
Pcp4,mz.384.99937,7,0.3717778,0.3717778
Adora2a,mz.364.90545999999995,7,0.37113976,0.37113976
Adcy5,mz.364.90382,7,0.37090182,0.37090182
Pcp4,mz.863.68026,7,0.3706274,0.3706274
Gng7,mz.287.173085,7,0.37033933,0.37033933
Scn4b,mz.384.99937,7,0.37011248,0.37011248
Drd2,mz.364.90382,7,0.37008706,0.37008706
Pcp4,mz.163.97838,7,0.36995217,0.36995217
Pcp4,mz.366.90242,7,0.36983263,0.36983263
Ppp1r1b,mz.163.97838,7,0.3692261,0.3692261
Adora2a,mz.364.902325,7,0.36916828,0.36916828
Drd2,mz.863.68026,7,0.3688993,0.3688993
Rgs9,mz.163.97838,7,0.36877438,0.36877438
Gpr88,mz.366.89971,7,0.36862832,0.36862832
Pde1b,mz.201.934135,7,0.36848813,0.36848813
Scn4b,mz.348.92861500000004,7,0.36836058,0.36836058
Adcy5,mz.364.902325,7,0.36795452,0.36795452
Syndig1l,mz.240.123325,7,0.3677028,0.3677028
Olfm1,mz.863.68026,7,-0.3673246,0.3673246
Rgs9,mz.762.473255,7,0.3671555,0.3671555
Pcp4,mz.393.915395,7,0.36702204,0.36702204
Pcp4l1,mz.364.90382,7,0.36696982,0.36696982
Pcp4,mz.201.932625,7,0.366554,0.366554
Pde1b,mz.403.84944,7,0.3662778,0.3662778
Gpr88,mz.540.910025,7,0.36616436,0.36616436
Arpp21,mz.384.99937,7,0.3661217,0.3661217
Scn4b,mz.366.90242,7,0.3651902,0.3651902
Penk,mz.366.89971,7,0.36514333,0.36514333
Adcy5,mz.241.12645,7,0.36495307,0.36495307
Gng7,mz.837.66747,7,0.36452654,0.36452654
Penk,mz.203.932345,7,0.3644608,0.3644608
Penk,mz.219.93651,7,0.3642293,0.3642293
Gng7,mz.222.02953,7,0.36392158,0.36392158
Tac1,mz.240.122615,7,0.36387685,0.36387685
Pcp4l1,mz.241.12645,7,0.36364794,0.36364794
Drd2,mz.364.902325,7,0.36353704,0.36353704
Adcy5,mz.384.99937,7,0.36336327,0.36336327
Adora2a,mz.384.99937,7,0.3630095,0.3630095
Gpr88,mz.201.934135,7,0.36250275,0.36250275
Syndig1l,mz.240.122615,7,0.36243024,0.36243024
Olfm1,mz.384.99937,7,-0.36124173,0.36124173
Drd2,mz.364.90545999999995,7,0.36123794,0.36123794
Adcy5,mz.364.90545999999995,7,0.36118633,0.36118633
Syndig1l,mz.240.12396999999999,7,0.36113816,0.36113816
