msi,w,component,w_abs
mz.768.0093449999999,0.4097492,0,0.4097492
mz.297.03797499999996,0.40940762,0,0.40940762
mz.413.800955,0.40939286,0,0.40939286
mz.388.14684,0.40859568,0,0.40859568
mz.307.07157500000005,0.40852186,0,0.40852186
mz.292.08393,0.40833104,0,0.40833104
mz.193.0771,0.40830705,0,0.40830705
mz.136.917825,0.40819347,0,0.40819347
mz.341.79344000000003,0.40814593,0,0.40814593
mz.308.05392,0.4079319,0,0.4079319
mz.242.01527,0.40725198,0,0.40725198
mz.280.016355,0.40696836,0,0.40696836
mz.273.828515,0.4064119,0,0.4064119
mz.224.06938,0.4063604,0,0.4063604
mz.225.97116499999998,0.40623602,0,0.40623602
mz.130.05105,0.40609038,0,0.40609038
mz.206.908445,0.4056355,0,0.4056355
mz.581.307965,0.405461,0,0.405461
mz.328.05834500000003,0.40539753,0,0.40539753
mz.325.989335,0.40514156,0,0.40514156
mz.305.98165500000005,0.40505543,0,0.40505543
mz.124.00753499999999,0.40485495,0,0.40485495
mz.112.98528999999999,0.40478843,0,0.40478843
mz.544.149505,0.40474036,0,0.40474036
mz.342.00199,0.40458962,0,0.40458962
mz.260.85066,0.40458834,0,0.40458834
mz.400.00625,0.40456828,0,0.40456828
mz.307.079795,0.40451375,0,0.40451375
mz.363.05376,0.4043693,0,0.4043693
mz.388.14475500000003,0.40426168,0,0.40426168
mz.112.98559,0.40391362,0,0.40391362
mz.348.061985,0.4036496,0,0.4036496
mz.191.01984,0.4031615,0,0.4031615
mz.308.071915,0.40302816,0,0.40302816
mz.242.04348,0.4028904,0,0.4028904
mz.611.32318,0.4028325,0,0.4028325
mz.176.0283,0.40269163,0,0.40269163
mz.221.79349,0.40264356,0,0.40264356
mz.195.08392,0.4021544,0,0.4021544
mz.170.942835,0.40197822,0,0.40197822
mz.464.31375,0.4013658,0,0.4013658
mz.208.905505,0.40125903,0,0.40125903
mz.438.269985,0.40080938,0,0.40080938
mz.341.88482,0.40046552,0,0.40046552
mz.165.99119000000002,0.40011477,0,0.40011477
mz.312.94946,0.39993337,0,0.39993337
mz.108.902095,0.3998299,0,0.3998299
mz.402.99444,0.39980412,0,0.39980412
mz.599.31864,0.39971432,0,0.39971432
mz.124.00700499999999,0.39959013,0,0.39959013
mz.273.04235,0.39935353,0,0.39935353
mz.344.032095,0.39927143,0,0.39927143
mz.186.916425,0.3992305,0,0.3992305
mz.108.901945,0.39911312,0,0.39911312
mz.345.87139,0.39908004,0,0.39908004
mz.409.23561,0.39869684,0,0.39869684
mz.124.00739,0.39842644,0,0.39842644
mz.190.89246,0.39800632,0,0.39800632
mz.172.89934,0.3976887,0,0.3976887
mz.377.81529,0.39759156,0,0.39759156
mz.190.91344,0.39758715,0,0.39758715
mz.194.07861,0.39727858,0,0.39727858
mz.651.9385199999999,0.3971992,0,0.3971992
mz.172.941305,0.3971701,0,0.3971701
mz.248.91,0.396685,0,0.396685
mz.192.990815,0.3965344,0,0.3965344
mz.112.985045,0.396374,0,0.396374
mz.197.940045,0.39634937,0,0.39634937
mz.420.0087,0.3961833,0,0.3961833
mz.910.387335,0.39610675,0,0.39610675
mz.341.87754,0.39602214,0,0.39602214
mz.805.92752,0.39580408,0,0.39580408
mz.363.20926,0.395803,0,0.395803
mz.378.76462000000004,0.39578202,0,0.39578202
mz.417.79464,0.39573038,0,0.39573038
mz.373.820035,0.39568317,0,0.39568317
mz.546.05901,0.39533073,0,0.39533073
mz.348.059975,0.39523533,0,0.39523533
mz.231.999465,0.39502335,0,0.39502335
mz.115.00367,0.39501902,0,0.39501902
mz.110.89917,0.3949495,0,0.3949495
mz.403.26143,0.3948954,0,0.3948954
mz.576.02913,0.39489222,0,0.39489222
mz.392.22842,0.3948254,0,0.3948254
mz.248.908885,0.3948124,0,0.3948124
mz.463.97681,0.39442772,0,0.39442772
mz.124.00673,0.3943441,0,0.3943441
mz.656.076035,0.39434114,0,0.39434114
mz.144.822,0.3941226,0,0.3941226
mz.170.94332,0.39408785,0,0.39408785
mz.395.865505,0.39401945,0,0.39401945
mz.309.84626000000003,0.39398935,0,0.39398935
mz.191.01898,0.39374796,0,0.39374796
mz.170.944295,0.39373094,0,0.39373094
mz.194.07428,0.39372128,0,0.39372128
mz.199.93713,0.39318776,0,0.39318776
mz.197.93912,0.3931196,0,0.3931196
mz.290.96751,0.39308885,0,0.39308885
mz.133.014385,0.39302263,0,0.39302263
mz.357.05910500000005,0.39301044,0,0.39301044
mz.280.022755,0.3929882,0,0.3929882
mz.187.92158,0.39298445,0,0.39298445
mz.206.907435,0.39286518,0,0.39286518
mz.895.931465,0.39256328,0,0.39256328
mz.134.985365,0.39203364,0,0.39203364
mz.134.04731,0.39188305,0,0.39188305
mz.234.882115,0.3918339,0,0.3918339
mz.399.85904,0.39181513,0,0.39181513
mz.606.0730000000001,0.3917445,0,0.3917445
mz.585.30803,0.39172935,0,0.39172935
mz.110.89903000000001,0.3917105,0,0.3917105
mz.145.06195000000002,0.39167446,0,0.39167446
mz.324.13518999999997,0.3914471,0,0.3914471
mz.341.88822,0.39134106,0,0.39134106
mz.172.94064,0.39126387,0,0.39126387
mz.264.05398,0.39118743,0,0.39118743
mz.435.9826,0.39096892,0,0.39096892
mz.115.003835,0.3909059,0,0.3909059
mz.187.042045,0.39076737,0,0.39076737
mz.262.086635,0.39067915,0,0.39067915
mz.552.2716399999999,0.39047045,0,0.39047045
mz.138.914805,0.3902118,0,0.3902118
mz.124.007135,0.39016137,0,0.39016137
mz.150.980125,0.39015883,0,0.39015883
mz.445.05246,0.38977337,0,0.38977337
mz.457.22987,0.38977206,0,0.38977206
mz.248.009185,0.3896362,0,0.3896362
mz.199.93596000000002,0.38960102,0,0.38960102
mz.322.04457,0.38930583,0,0.38930583
mz.376.767715,0.38919413,0,0.38919413
mz.192.88952,0.38915864,0,0.38915864
mz.219.9785,0.38858482,0,0.38858482
mz.373.83609,0.38838726,0,0.38838726
mz.481.311875,0.38812065,0,0.38812065
mz.251.03572,0.38760242,0,0.38760242
mz.262.847705,0.3874065,0,0.3874065
mz.233.99656,0.38727632,0,0.38727632
mz.404.99839499999996,0.38671333,0,0.38671333
mz.255.89857,0.38663587,0,0.38663587
mz.172.940355,0.38658333,0,0.38658333
mz.181.965255,0.38652983,0,0.38652983
mz.232.93488000000002,0.3863862,0,0.3863862
mz.382.025895,0.3862108,0,0.3862108
mz.158.92491,0.38602138,0,0.38602138
mz.463.22479,0.38601694,0,0.38601694
mz.358.933895,0.38595232,0,0.38595232
mz.176.04511000000002,0.3858549,0,0.3858549
mz.326.06466,0.38549274,0,0.38549274
mz.181.966675,0.38513333,0,0.38513333
mz.363.91964499999995,0.38487262,0,0.38487262
mz.126.00333,0.38486266,0,0.38486266
mz.133.01391999999998,0.38477615,0,0.38477615
mz.248.01471500000002,0.38439035,0,0.38439035
mz.232.935855,0.38425985,0,0.38425985
mz.699.4936,0.3842368,0,0.3842368
mz.409.01437,0.3839747,0,0.3839747
mz.452.277655,0.38392964,0,0.38392964
mz.386.156725,0.38389784,0,0.38389784
mz.126.003175,0.38373733,0,0.38373733
mz.147.049345,0.38303712,0,0.38303712
mz.721.89219,0.38302532,0,0.38302532
mz.167.70502499999998,0.38282296,0,0.38282296
mz.463.22865,0.38261327,0,0.38261327
mz.367.913405,0.3825533,0,0.3825533
mz.254.99108999999999,0.38206536,0,0.38206536
mz.439.22488999999996,0.38206428,0,0.38206428
mz.673.4786899999999,0.38205686,0,0.38205686
mz.268.959925,0.38190696,0,0.38190696
mz.181.96607999999998,0.3818017,0,0.3818017
mz.395.86289999999997,0.3817792,0,0.3817792
mz.181.96492999999998,0.38168457,0,0.38168457
mz.158.925465,0.38157797,0,0.38157797
mz.229.05252000000002,0.38143954,0,0.38143954
mz.183.96319,0.38130915,0,0.38130915
mz.327.23282,0.38129458,0,0.38129458
mz.497.79471,0.381166,0,0.381166
mz.175.023345,0.38096204,0,0.38096204
mz.282.03846,0.38094097,0,0.38094097
mz.694.06612,0.38086224,0,0.38086224
mz.204.004605,0.38075268,0,0.38075268
mz.113.989025,0.3806735,0,0.3806735
mz.601.27679,0.3804926,0,0.3804926
mz.180.043175,0.38019836,0,0.38019836
mz.465.84925999999996,0.38015682,0,0.38015682
mz.960.5310099999999,0.37903345,0,0.37903345
mz.495.92363,0.37886736,0,0.37886736
mz.405.01724,0.3785741,0,0.3785741
mz.199.93806999999998,0.3784641,0,0.3784641
mz.273.043385,0.3783832,0,0.3783832
mz.171.94765999999998,0.37830824,0,0.37830824
mz.394.73846000000003,0.37826297,0,0.37826297
mz.328.923395,0.37809366,0,0.37809366
mz.446.30334500000004,0.37798563,0,0.37798563
mz.407.99371,0.37795413,0,0.37795413
mz.122.432085,0.37788337,0,0.37788337
mz.385.890045,0.37767053,0,0.37767053
mz.183.96239500000001,0.37764874,0,0.37764874
mz.192.951955,0.37758467,0,0.37758467
mz.166.86049,0.37749502,0,0.37749502
mz.248.91832,0.37747365,0,0.37747365
mz.252.00053,0.3768005,0,0.3768005
mz.851.9751450000001,0.37667444,0,0.37667444
mz.308.098585,0.37655815,0,0.37655815
mz.580.1442999999999,0.37655738,0,0.37655738
mz.208.90617,0.37640715,0,0.37640715
mz.352.0448,0.37634516,0,0.37634516
mz.189.988905,0.37620106,0,0.37620106
mz.811.9605300000001,0.3759178,0,0.3759178
mz.253.03276499999998,0.375779,0,0.375779
mz.150.98031500000002,0.37573195,0,0.37573195
mz.290.08804499999997,0.37573066,0,0.37573066
mz.502.04728,0.37565506,0,0.37565506
mz.168.043245,0.3755097,0,0.3755097
mz.251.036855,0.37547174,0,0.37547174
mz.360.97053,0.37526113,0,0.37526113
mz.168.857755,0.3750011,0,0.3750011
mz.117.019455,0.3748486,0,0.3748486
mz.176.936035,0.3746818,0,0.3746818
mz.128.717395,0.37448648,0,0.37448648
mz.565.0460149999999,0.37443182,0,0.37443182
mz.166.860725,0.37429193,0,0.37429193
mz.924.51575,0.37415007,0,0.37415007
mz.232.98348,0.37403402,0,0.37403402
mz.214.048695,0.37330952,0,0.37330952
mz.231.975635,0.3731339,0,0.3731339
mz.144.82232,0.37262657,0,0.37262657
mz.654.42517,0.37255314,0,0.37255314
mz.390.15336,0.37233788,0,0.37233788
mz.210.962555,0.37207296,0,0.37207296
mz.453.217015,0.37193605,0,0.37193605
mz.305.77446,0.37193337,0,0.37193337
mz.439.22862999999995,0.3714711,0,0.3714711
mz.283.264315,0.3714668,0,0.3714668
mz.364.02196000000004,0.3711846,0,0.3711846
mz.227.03822000000002,0.3711731,0,0.3711731
mz.885.546545,0.3709574,0,0.3709574
mz.320.97811,0.37082207,0,0.37082207
mz.223.001415,0.3708041,0,0.3708041
mz.260.02583,0.37067407,0,0.37067407
mz.188.91414,0.37060273,0,0.37060273
mz.483.97955,0.37045088,0,0.37045088
mz.790.53532,0.37042123,0,0.37042123
mz.245.0432,0.37039673,0,0.37039673
mz.346.975815,0.37021014,0,0.37021014
mz.128.035415,0.37014642,0,0.37014642
mz.243.96628500000003,0.37013102,0,0.37013102
mz.266.98861999999997,0.36973664,0,0.36973664
mz.428.08007499999997,0.3697151,0,0.3697151
mz.112.89605,0.36970785,0,0.36970785
mz.168.990855,0.36966348,0,0.36966348
mz.179.01155,0.3695369,0,0.3695369
mz.886.562545,0.36917955,0,0.36917955
mz.392.741405,0.36916828,0,0.36916828
mz.194.06119999999999,0.36908042,0,0.36908042
mz.273.82748,0.36906993,0,0.36906993
mz.227.973035,0.36899984,0,0.36899984
mz.298.0698,0.36894804,0,0.36894804
mz.456.236075,0.36877233,0,0.36877233
mz.289.03721,0.36844987,0,0.36844987
mz.230.90789,0.36835685,0,0.36835685
mz.458.08768499999996,0.36820343,0,0.36820343
mz.125.01084499999999,0.36794546,0,0.36794546
mz.857.5124000000001,0.36780575,0,0.36780575
mz.183.96197,0.36770847,0,0.36770847
mz.180.99086,0.3676713,0,0.3676713
mz.493.72420999999997,0.367659,0,0.367659
mz.290.116005,0.36762956,0,0.36762956
mz.839.90974,0.36756343,0,0.36756343
mz.497.81323,0.36754808,0,0.36754808
mz.717.819825,0.36746272,0,0.36746272
mz.138.98024500000002,0.3673869,0,0.3673869
mz.886.549495,0.36729133,0,0.36729133
mz.180.907425,0.3670921,0,0.3670921
mz.688.0197949999999,0.36675346,0,0.36675346
mz.783.469865,0.3666693,0,0.3666693
mz.216.871555,0.36663547,0,0.36663547
mz.926.3697,0.36657274,0,0.36657274
mz.282.02899,0.36637133,0,0.36637133
mz.484.064505,0.36627942,0,0.36627942
mz.122.985345,0.36616248,0,0.36616248
mz.633.4071899999999,0.3660557,0,0.3660557
mz.388.10806,0.36604357,0,0.36604357
mz.224.03297500000002,0.36590177,0,0.36590177
mz.257.8956,0.3654806,0,0.3654806
mz.421.908545,0.36542797,0,0.36542797
mz.502.05077,0.36532193,0,0.36532193
mz.388.13433,0.36523914,0,0.36523914
mz.283.10880499999996,0.36510903,0,0.36510903
mz.248.00833,0.36501345,0,0.36501345
mz.300.74871,0.36496487,0,0.36496487
mz.316.72254499999997,0.36481273,0,0.36481273
mz.303.232935,0.36465058,0,0.36465058
mz.226.012305,0.3642143,0,0.3642143
mz.317.84139000000005,0.3642075,0,0.3642075
mz.217.79951,0.36416078,0,0.36416078
mz.601.463495,0.36407652,0,0.36407652
mz.249.97054500000002,0.36403388,0,0.36403388
mz.454.05697,0.36381757,0,0.36381757
mz.641.9173,0.36368188,0,0.36368188
mz.112.89620500000001,0.36360282,0,0.36360282
mz.230.90884499999999,0.36321306,0,0.36321306
mz.790.54916,0.3629591,0,0.3629591
mz.313.841365,0.3624646,0,0.3624646
mz.426.02135499999997,0.36245328,0,0.36245328
mz.167.705375,0.36239144,0,0.36239144
mz.318.71967500000005,0.36232007,0,0.36232007
mz.427.20151,0.36220244,0,0.36220244
mz.314.725615,0.36211863,0,0.36211863
mz.154.05108,0.36190984,0,0.36190984
mz.154.88873999999998,0.3616982,0,0.3616982
mz.255.233045,0.36156747,0,0.36156747
mz.883.531225,0.36148632,0,0.36148632
mz.339.20954,0.36078122,0,0.36078122
mz.234.894635,0.36066306,0,0.36066306
mz.835.529135,0.36066207,0,0.36066207
mz.300.0489,0.3606538,0,0.3606538
mz.460.04810499999996,0.36061794,0,0.36061794
mz.304.010875,0.36011478,0,0.36011478
mz.298.751625,0.36002475,0,0.36002475
mz.421.98395,0.35986927,0,0.35986927
mz.364.0348,0.359435,0,0.359435
mz.753.8355750000001,0.3593385,0,0.3593385
mz.463.998265,0.35930276,0,0.35930276
mz.533.24843,0.3591831,0,0.3591831
mz.158.92592000000002,0.3590386,0,0.3590386
mz.200.05653999999998,0.358888,0,0.358888
mz.426.02462,0.3588083,0,0.3588083
mz.294.0706,0.35855377,0,0.35855377
