gene,w,component,w_abs
Hoxd1,-0.00080371246,6,0.00080371246
Sst,0.0008028192,6,0.0008028192
A330093E20Rik,0.00079905224,6,0.00079905224
Pla2g4a,0.00079789176,6,0.00079789176
Gm30564,-0.0007978388,6,0.0007978388
Zscan20,-0.00079233944,6,0.00079233944
Tns2,0.00079126103,6,0.00079126103
Sned1,-0.0007910281,6,0.0007910281
AU020206,0.0007905923,6,0.0007905923
Acaa1a,0.00078689936,6,0.00078689936
Lpxn,0.00078486954,6,0.00078486954
Lyz2,0.0007838554,6,0.0007838554
Rassf2,-0.00078142807,6,0.00078142807
Ikzf5,-0.0007791705,6,0.0007791705
Fcer1g,0.0007778809,6,0.0007778809
Sfmbt2,0.0007738921,6,0.0007738921
Samd13,-0.0007712652,6,0.0007712652
Gk5,0.0007652727,6,0.0007652727
Phldb1,-0.00076375634,6,0.00076375634
Tfcp2l1,0.00076361885,6,0.00076361885
Slc43a2,0.00076320436,6,0.00076320436
Gna12,0.0007607297,6,0.0007607297
Drd1,0.0007574896,6,0.0007574896
Ccndbp1,-0.0007568616,6,0.0007568616
Gm28523,0.0007508262,6,0.0007508262
Malat1,-0.0007494007,6,0.0007494007
Slc25a21,0.000744697,6,0.000744697
Foxc1,0.00074090867,6,0.00074090867
H2-Eb1,0.0007373604,6,0.0007373604
Kctd9,0.0007353525,6,0.0007353525
Med13,0.00073412544,6,0.00073412544
Hba-a1,-0.00073327444,6,0.00073327444
Gm20186,0.0007318221,6,0.0007318221
Cnbd2,0.00072994997,6,0.00072994997
Syde1,-0.00072645646,6,0.00072645646
Cyp2c50,0.00072448835,6,0.00072448835
Kars,0.0007195643,6,0.0007195643
Tacr1,-0.0007193422,6,0.0007193422
Csf2rb,-0.0007188759,6,0.0007188759
Nat1,-0.00071273313,6,0.00071273313
Ccdc137,-0.00071231055,6,0.00071231055
Gm4219,-0.000710742,6,0.000710742
Pde1b,-0.0007092169,6,0.0007092169
Wfikkn2,-0.0007081071,6,0.0007081071
Nf2,0.00070681056,6,0.00070681056
Cpm,-0.00070211577,6,0.00070211577
Gjc2,-0.0007005739,6,0.0007005739
Csrp1,-0.0007001995,6,0.0007001995
Pls1,-0.00069915096,6,0.00069915096
Haus5,-0.0006958592,6,0.0006958592
Plac9b,0.00069140526,6,0.00069140526
Rap1a,0.000688185,6,0.000688185
St6galnac3,-0.0006869227,6,0.0006869227
Ninj2,-0.00068658177,6,0.00068658177
Parp2,0.00068098516,6,0.00068098516
Spin4,-0.0006730298,6,0.0006730298
Tbx18,-0.00067002064,6,0.00067002064
Lefty1,0.0006653516,6,0.0006653516
Grb7,0.00066464336,6,0.00066464336
Fam199x,-0.0006620537,6,0.0006620537
Gm44773,-0.00065833813,6,0.00065833813
Klhl31,-0.00065666414,6,0.00065666414
Grb14,0.000655279,6,0.000655279
Gpr62,-0.0006523035,6,0.0006523035
Hba-a2,-0.000651912,6,0.000651912
Csf1,0.000646686,6,0.000646686
Fam219b,0.00064520043,6,0.00064520043
Pdlim2,-0.0006449632,6,0.0006449632
Vwa5a,0.0006417975,6,0.0006417975
Usp8,-0.0006403191,6,0.0006403191
Snx1,0.0006401434,6,0.0006401434
Igfbp2,-0.00063990935,6,0.00063990935
Ptpn5,0.0006353084,6,0.0006353084
Mab21l1,-0.0006201193,6,0.0006201193
Olfml3,0.0006186666,6,0.0006186666
Stmn2,0.00061787287,6,0.00061787287
4930402H24Rik,0.0006178599,6,0.0006178599
Icam1,-0.000616961,6,0.000616961
Nkx2-2,-0.00061089004,6,0.00061089004
Gltp,-0.0006089545,6,0.0006089545
Gna15,-0.00060384,6,0.00060384
Heyl,-0.00060297933,6,0.00060297933
Hcar1,0.0006018693,6,0.0006018693
Itgad,-0.00060093787,6,0.00060093787
Sntg1,-0.0005976345,6,0.0005976345
Rbm19,0.00059284415,6,0.00059284415
Cyyr1,-0.00058888394,6,0.00058888394
Gm15912,-0.0005865876,6,0.0005865876
S100a9,-0.0005831203,6,0.0005831203
Rnf169,0.0005804907,6,0.0005804907
Gm10687,-0.00057990744,6,0.00057990744
Gm48614,0.0005793716,6,0.0005793716
Kif13a,-0.00057543826,6,0.00057543826
Adi1,-0.00057249115,6,0.00057249115
Pappa2,-0.00057012105,6,0.00057012105
Stat3,0.0005689717,6,0.0005689717
4930452G13Rik,0.0005681404,6,0.0005681404
Eps8l1,-0.0005667212,6,0.0005667212
Nab1,0.0005627398,6,0.0005627398
Prox1os,-0.0005576884,6,0.0005576884
Slc8b1,0.00055449817,6,0.00055449817
Igkc,0.0005532189,6,0.0005532189
Foxo4,0.00055020925,6,0.00055020925
Sox7,-0.00054820534,6,0.00054820534
Sycp3,0.00054740225,6,0.00054740225
Tle3,-0.0005423097,6,0.0005423097
Pcp4l1,0.0005406614,6,0.0005406614
Wdr36,0.00053826714,6,0.00053826714
2810433D01Rik,0.0005358393,6,0.0005358393
4930537H20Rik,-0.000535229,6,0.000535229
Jmjd8,0.000534116,6,0.000534116
Poli,0.00053352996,6,0.00053352996
Irf5,0.000532992,6,0.000532992
Alx3,0.0005316415,6,0.0005316415
A330084C13Rik,0.0005299585,6,0.0005299585
9630013A20Rik,-0.0005235504,6,0.0005235504
Myo6,-0.000522595,6,0.000522595
Otud7b,0.00052134995,6,0.00052134995
Cldn11,-0.0005193713,6,0.0005193713
Atp1a2,0.00051924906,6,0.00051924906
Gm26796,-0.0005185115,6,0.0005185115
Zp1,0.0005176665,6,0.0005176665
Adamts3,-0.00051490625,6,0.00051490625
Lrrc14,0.0005137245,6,0.0005137245
