gene,w,component,w_abs
Tmcc3,0.029910205,2,0.029910205
Jup,0.029532565,2,0.029532565
Gpr88,-0.029403474,2,0.029403474
Adam19,0.029320488,2,0.029320488
Scaper,-0.028951282,2,0.028951282
Smco3,0.028934907,2,0.028934907
Gamt,0.028819887,2,0.028819887
Dock5,0.028775737,2,0.028775737
Serpinb1a,0.028731862,2,0.028731862
Chd7,0.02871828,2,0.02871828
Cpox,0.028698048,2,0.028698048
Kctd13,0.028634703,2,0.028634703
Nkx2-2,0.028556054,2,0.028556054
Tmem125,0.028501172,2,0.028501172
Prdx6,0.028430222,2,0.028430222
Cdyl,-0.028352233,2,0.028352233
Ly6g6d,0.028248409,2,0.028248409
Il1r2,-0.028214354,2,0.028214354
Prex2,-0.028104618,2,0.028104618
Ckap2,0.027558358,2,0.027558358
Fbxo7,0.027531361,2,0.027531361
Ccbe1,-0.02750686,2,0.02750686
Myrf,0.027435606,2,0.027435606
Slc17a7,-0.02743337,2,0.02743337
Meis2,-0.027392052,2,0.027392052
Fxyd1,0.027293166,2,0.027293166
Limd1,0.02711571,2,0.02711571
Smox,0.027066385,2,0.027066385
Kcna6,0.027060088,2,0.027060088
Rell1,0.02670853,2,0.02670853
Kcnj10,0.026479382,2,0.026479382
Ednrb,0.02647639,2,0.02647639
Myo6,0.026402732,2,0.026402732
Cd82,0.02639463,2,0.02639463
Clmn,0.026028248,2,0.026028248
Akap12,-0.025923252,2,0.025923252
Efcab14,0.025912842,2,0.025912842
Dok6,-0.0258107,2,0.0258107
Wipi1,0.025795864,2,0.025795864
Myo1d,0.02539583,2,0.02539583
Zfp536,0.025304895,2,0.025304895
Cplx3,0.025263555,2,0.025263555
Tppp,0.024939436,2,0.024939436
Lpl,-0.02480247,2,0.02480247
Fbxo2,0.024724372,2,0.024724372
Olfml1,0.0246599,2,0.0246599
Tac1,-0.02444091,2,0.02444091
Fnbp1,0.024273207,2,0.024273207
Tigd3,-0.024112629,2,0.024112629
Rnf122,0.023948167,2,0.023948167
Sspo,0.023758456,2,0.023758456
Srpk3,0.02370125,2,0.02370125
Pcbp4,0.023388542,2,0.023388542
Prr5l,0.023345094,2,0.023345094
Xaf1,0.023294145,2,0.023294145
Adamtsl1,0.022961805,2,0.022961805
Uty,-0.022712888,2,0.022712888
Carns1,0.022695674,2,0.022695674
Mob3b,0.022672428,2,0.022672428
Pbk,0.022311497,2,0.022311497
Gm48508,0.022180036,2,0.022180036
Tprkb,0.022153184,2,0.022153184
Gm33727,0.02212737,2,0.02212737
Fgfr2,0.022036908,2,0.022036908
