gene,msi,component,r,r_abs
Bc1,mz.398.13898,0,0.34255213,0.34255213
Slc17a7,mz.407.14256,0,0.34254965,0.34254965
Nrgn,mz.433.08094,0,0.3422186,0.3422186
Nrgn,mz.354.14918,0,0.3402636,0.3402636
Bc1,mz.427.13472,0,0.34025794,0.34025794
Olfm1,mz.697.2391,0,0.33983198,0.33983198
Mobp,mz.354.1128,0,-0.339419,0.339419
Pacs2,mz.862.09285,0,-0.33886144,0.33886144
Bc1,mz.432.08618,0,0.33874846,0.33874846
Nrgn,mz.427.14125,0,0.33849,0.33849
Nrgn,mz.383.14755,0,0.3374458,0.3374458
Nrgn,mz.398.13898,0,0.33742845,0.33742845
Bc1,mz.431.08294,0,0.33715063,0.33715063
Mobp,mz.383.14755,0,-0.3367439,0.3367439
Bc1,mz.427.14125,0,0.33666727,0.33666727
Olfm1,mz.432.08618,0,0.33659983,0.33659983
Slc17a7,mz.352.13361,0,0.33616668,0.33616668
Nrgn,mz.482.10025,0,0.3360376,0.3360376
Pacs2,mz.416.11226,0,-0.33585554,0.33585554
Rpl4,mz.326.11793,0,-0.33575222,0.33575222
Olfm1,mz.382.14402,0,0.33442715,0.33442715
Rpl4,mz.433.07846,0,-0.3343172,0.3343172
Nrgn,mz.433.07846,0,0.33400705,0.33400705
Bc1,mz.697.2391,0,0.3333996,0.3333996
Pacs2,mz.408.12338,0,-0.33282664,0.33282664
Rpl4,mz.556.05285,0,-0.33276543,0.33276543
Olfm1,mz.431.08294,0,0.33221748,0.33221748
Endod1,mz.554.0458,0,-0.33214316,0.33214316
Mobp,mz.427.14125,0,-0.33208808,0.33208808
Nrgn,mz.338.1179,0,0.33141688,0.33141688
Olfm1,mz.427.13472,0,0.33128434,0.33128434
Pacs2,mz.458.16003,0,-0.33099377,0.33099377
Mobp,mz.398.13898,0,-0.3302591,0.3302591
Bc1,mz.383.14755,0,0.32969478,0.32969478
Rpl4,mz.482.10025,0,-0.3292195,0.3292195
Mobp,mz.338.1179,0,-0.32902375,0.32902375
Pacs2,mz.482.10025,0,-0.32801273,0.32801273
Bc1,mz.862.09285,0,0.32774645,0.32774645
Mobp,mz.354.14918,0,-0.32727805,0.32727805
Nrgn,mz.431.08737,0,0.3267609,0.3267609
Mobp,mz.432.08618,0,-0.326583,0.326583
Mobp,mz.482.10025,0,-0.32645288,0.32645288
Bc1,mz.338.1179,0,0.32640195,0.32640195
Bc1,mz.326.11793,0,0.32626382,0.32626382
Bc1,mz.433.08094,0,0.32579857,0.32579857
Endod1,mz.697.23266,0,-0.32518974,0.32518974
Olfm1,mz.383.14755,0,0.32486913,0.32486913
Bc1,mz.415.10892,0,0.3247504,0.3247504
Nrgn,mz.427.13255,0,0.32444483,0.32444483
Bc1,mz.482.10025,0,0.32434687,0.32434687
Olfm1,mz.354.14918,0,0.32327637,0.32327637
Mobp,mz.556.05285,0,-0.3227765,0.3227765
Mobp,mz.326.11793,0,-0.32248494,0.32248494
Olfm1,mz.427.14125,0,0.3221285,0.3221285
Pacs2,mz.433.07846,0,-0.3218695,0.3218695
Rpl4,mz.408.12338,0,-0.32173306,0.32173306
Endod1,mz.555.04915,0,-0.32160854,0.32160854
Endod1,mz.698.23612,0,-0.32128635,0.32128635
Endod1,mz.697.2391,0,-0.32115203,0.32115203
Rpl4,mz.431.08737,0,-0.320867,0.320867
Rpl4,mz.458.16003,0,-0.32040358,0.32040358
Olfm1,mz.862.09285,0,0.32030976,0.32030976
Nrgn,mz.556.05285,0,0.31995782,0.31995782
Olfm1,mz.354.1128,0,0.31991106,0.31991106
Nrgn,mz.469.03851,0,0.31972057,0.31972057
Bc1,mz.427.13255,0,0.31969506,0.31969506
Mobp,mz.431.08294,0,-0.31966117,0.31966117
Endod1,mz.382.14402,0,-0.31957558,0.31957558
Nrgn,mz.458.16003,0,0.31937358,0.31937358
Endod1,mz.427.13472,0,-0.31929192,0.31929192
Olfm1,mz.398.13898,0,0.31794405,0.31794405
Endod1,mz.428.14952,0,-0.31779912,0.31779912
Mobp,mz.433.08094,0,-0.31739303,0.31739303
Bc1,mz.433.07846,0,0.3169048,0.3169048
Nrgn,mz.326.11793,0,0.31690124,0.31690124
Rpl4,mz.433.08939,0,-0.31674942,0.31674942
Nrgn,mz.415.10892,0,0.31654915,0.31654915
Olfm1,mz.433.08094,0,0.31566775,0.31566775
Mobp,mz.427.13255,0,-0.31431034,0.31431034
Olfm1,mz.338.1179,0,0.31416738,0.31416738
Nrgn,mz.408.12338,0,0.31411347,0.31411347
Rpl4,mz.469.03851,0,-0.31319687,0.31319687
Nnat,mz.554.0458,0,0.31252974,0.31252974
Bc1,mz.556.05285,0,0.31165132,0.31165132
Pacs2,mz.469.03851,0,-0.3112952,0.3112952
Slc17a7,mz.622.29085,0,0.31022182,0.31022182
Endod1,mz.427.14125,0,-0.31017295,0.31017295
Bc1,mz.469.03851,0,0.3094572,0.3094572
Pacs2,mz.453.06455,0,-0.30908713,0.30908713
Olfm1,mz.427.13255,0,0.3087897,0.3087897
Olfm1,mz.482.10025,0,0.3083941,0.3083941
Bc1,mz.458.16003,0,0.30793872,0.30793872
Nnat,mz.697.23266,0,0.30759168,0.30759168
Endod1,mz.431.08294,0,-0.30708534,0.30708534
Bc1,mz.408.12338,0,0.30707946,0.30707946
Mobp,mz.862.09285,0,-0.3069179,0.3069179
Endod1,mz.432.08618,0,-0.3067599,0.3067599
Rpl4,mz.453.06455,0,-0.3053344,0.3053344
Olfm1,mz.556.05285,0,0.3050153,0.3050153
Nnat,mz.698.23612,0,0.3049939,0.3049939
Pacs2,mz.431.08737,0,-0.30485255,0.30485255
Nnat,mz.427.13472,0,0.3046061,0.3046061
Olfm1,mz.326.11793,0,0.30457506,0.30457506
Olfm1,mz.408.12338,0,0.30456528,0.30456528
Endod1,mz.354.14918,0,-0.30453768,0.30453768
Nrgn,mz.416.11226,0,0.3044511,0.3044511
Mobp,mz.408.12338,0,-0.30382648,0.30382648
Nrgn,mz.469.04201,0,0.3036709,0.3036709
Bc1,mz.469.04201,0,0.3032668,0.3032668
Slc17a7,mz.311.1529,0,0.30207074,0.30207074
Nnat,mz.555.04915,0,0.30205786,0.30205786
Nnat,mz.427.14125,0,0.30199972,0.30199972
Olfm1,mz.433.07846,0,0.3017864,0.3017864
Rpl4,mz.469.04201,0,-0.3012771,0.3012771
Nnat,mz.428.14952,0,0.30054858,0.30054858
Mobp,mz.415.10892,0,-0.30034295,0.30034295
Bc1,mz.416.11226,0,0.3001485,0.3001485
Nrgn,mz.433.08939,0,0.30008647,0.30008647
Olfm1,mz.431.08737,0,0.2999464,0.2999464
Endod1,mz.427.13255,0,-0.29964837,0.29964837
Nnat,mz.697.2391,0,0.29931623,0.29931623
Endod1,mz.433.08094,0,-0.2990167,0.2990167
Malat1,mz.415.10892,0,0.29886198,0.29886198
Mobp,mz.458.16003,0,-0.29869127,0.29869127
Nrgn,mz.453.06455,0,0.2986584,0.2986584
Endod1,mz.415.10892,0,-0.29837817,0.29837817
Nnat,mz.382.14402,0,0.29804656,0.29804656
Endod1,mz.398.13898,0,-0.29790625,0.29790625
Olfm1,mz.469.03851,0,0.29730904,0.29730904
Nnat,mz.458.16003,0,0.29713973,0.29713973
Endod1,mz.354.1128,0,-0.29680076,0.29680076
Endod1,mz.862.09285,0,-0.2963335,0.2963335
Pacs2,mz.433.08939,0,-0.29610866,0.29610866
Mobp,mz.469.03851,0,-0.29585105,0.29585105
Bc1,mz.431.08737,0,0.2952841,0.2952841
Pacs2,mz.622.29085,0,-0.2951969,0.2951969
Slc17a7,mz.351.14952,0,0.2946602,0.2946602
Mobp,mz.433.07846,0,-0.2942494,0.2942494
Malat1,mz.554.0458,0,0.29407114,0.29407114
Pacs2,mz.469.04201,0,-0.29362193,0.29362193
Rpl4,mz.622.29085,0,-0.29256615,0.29256615
Olfm1,mz.458.16003,0,0.2924051,0.2924051
Bc1,mz.310.12302,0,0.29166418,0.29166418
Malat1,mz.697.23266,0,0.29146352,0.29146352
Malat1,mz.698.23612,0,0.2904873,0.2904873
Pacs2,mz.311.1529,0,-0.29006472,0.29006472
Pacs2,mz.310.12302,0,-0.289079,0.289079
Malat1,mz.382.14402,0,0.28880486,0.28880486
Bc1,mz.433.08939,0,0.28876114,0.28876114
Malat1,mz.431.08294,0,0.28865722,0.28865722
Pacs2,mz.431.07851,0,-0.28827024,0.28827024
Rpl4,mz.310.12302,0,-0.28820318,0.28820318
Cpne7,mz.697.23266,0,0.28811315,0.28811315
Bc1,mz.453.06455,0,0.28808507,0.28808507
Rpl4,mz.862.08498,0,-0.28788894,0.28788894
Ptk2b,mz.554.0458,0,0.2873821,0.2873821
Nrgn,mz.470.04199,0,0.2868889,0.2868889
Endod1,mz.556.05285,0,-0.28679636,0.28679636
Malat1,mz.432.08618,0,0.28670472,0.28670472
Malat1,mz.428.14952,0,0.28633615,0.28633615
Nnat,mz.482.10025,0,0.28589916,0.28589916
Mobp,mz.431.08737,0,-0.2858583,0.2858583
Nnat,mz.354.14918,0,0.28577387,0.28577387
Nnat,mz.354.1128,0,0.28565747,0.28565747
Slc17a7,mz.429.0767,0,0.28564554,0.28564554
Mobp,mz.416.11226,0,-0.28544268,0.28544268
Bc1,mz.470.04199,0,0.28534895,0.28534895
Rpl4,mz.470.04199,0,-0.2850097,0.2850097
Malat1,mz.555.04915,0,0.28494322,0.28494322
Endod1,mz.338.1179,0,-0.28484854,0.28484854
Malat1,mz.697.2391,0,0.2845911,0.2845911
Malat1,mz.354.14918,0,0.2841276,0.2841276
Endod1,mz.416.11226,0,-0.28392398,0.28392398
Rpl4,mz.407.14256,0,-0.28390026,0.28390026
Nnat,mz.398.13898,0,0.2834683,0.2834683
Endod1,mz.408.12338,0,-0.28307363,0.28307363
Endod1,mz.383.14755,0,-0.28306055,0.28306055
Pacs2,mz.470.04199,0,-0.28302404,0.28302404
Mobp,mz.469.04201,0,-0.28281006,0.28281006
Rpl4,mz.311.1529,0,-0.28275546,0.28275546
mt-Co2,mz.432.08618,0,0.28268448,0.28268448
Ptk2b,mz.697.23266,0,0.2824995,0.2824995
Nrgn,mz.862.08498,0,0.2818669,0.2818669
Pacs2,mz.352.13361,0,-0.28102717,0.28102717
Rpl4,mz.431.07851,0,-0.28073347,0.28073347
Stmn4,mz.554.0458,0,-0.28040546,0.28040546
Mag,mz.554.0458,0,-0.2802937,0.2802937
Endod1,mz.326.11793,0,-0.2799304,0.2799304
Mobp,mz.310.12302,0,-0.27982578,0.27982578
Nnat,mz.427.13255,0,0.27967626,0.27967626
Ptgds,mz.697.23266,0,-0.2796268,0.2796268
Malat1,mz.458.16003,0,0.27943784,0.27943784
Nrgn,mz.431.07851,0,0.27929488,0.27929488
Malat1,mz.433.08094,0,0.27906442,0.27906442
mt-Co2,mz.382.14402,0,0.27872676,0.27872676
Plp1,mz.697.23266,0,-0.27855578,0.27855578
Endod1,mz.482.10025,0,-0.27852908,0.27852908
Plp1,mz.698.23612,0,-0.27852556,0.27852556
Mag,mz.697.23266,0,-0.2782753,0.2782753
mt-Nd3,mz.428.14952,0,0.27818367,0.27818367
mt-Co2,mz.554.0458,0,0.27813926,0.27813926
Plp1,mz.554.0458,0,-0.27813703,0.27813703
Olfm1,mz.469.04201,0,0.27754477,0.27754477
Mobp,mz.453.06455,0,-0.27747533,0.27747533
Malat1,mz.427.13472,0,0.27710474,0.27710474
Cpne7,mz.554.0458,0,0.277019,0.277019
Nnat,mz.383.14755,0,0.2766247,0.2766247
Cpne7,mz.698.23612,0,0.27659675,0.27659675
mt-Co2,mz.431.08294,0,0.27655786,0.27655786
mt-Nd3,mz.554.0458,0,0.27650732,0.27650732
Pvalb,mz.697.23266,0,-0.27647376,0.27647376
Endod1,mz.433.07846,0,-0.2764282,0.2764282
Mobp,mz.433.08939,0,-0.27587816,0.27587816
Malat1,mz.338.1179,0,0.27587137,0.27587137
Stmn4,mz.697.23266,0,-0.27547178,0.27547178
mt-Co2,mz.428.14952,0,0.2754567,0.2754567
Malat1,mz.354.1128,0,0.27527213,0.27527213
Malat1,mz.398.13898,0,0.27524212,0.27524212
mt-Nd3,mz.354.1128,0,0.27511072,0.27511072
Ptgds,mz.554.0458,0,-0.2750577,0.2750577
Mag,mz.555.04915,0,-0.27445105,0.27445105
Ptk2b,mz.555.04915,0,0.2743408,0.2743408
Nnat,mz.338.1179,0,0.27405807,0.27405807
Endod1,mz.469.03851,0,-0.27401695,0.27401695
Olfm1,mz.415.10892,0,0.2739603,0.2739603
Mag,mz.698.23612,0,-0.2739315,0.2739315
Stmn4,mz.698.23612,0,-0.2734766,0.2734766
Cpne7,mz.697.2391,0,0.27329352,0.27329352
mt-Co2,mz.354.14918,0,0.272988,0.272988
Ptk2b,mz.697.2391,0,0.27269137,0.27269137
Ptk2b,mz.698.23612,0,0.27264494,0.27264494
Bc1,mz.622.29085,0,0.27219304,0.27219304
mt-Nd3,mz.398.13898,0,0.27214667,0.27214667
Ptgds,mz.698.23612,0,-0.27213183,0.27213183
