msi,w,component,w_abs
mz.423.932365,0.3106336,0,0.3106336
mz.253.96550000000002,0.3102365,0,0.3102365
mz.368.02887,0.31009632,0,0.31009632
mz.252.95110499999998,0.3099886,0,0.3099886
mz.604.0006450000001,0.30990922,0,0.30990922
mz.203.930065,0.3096065,0,0.3096065
mz.366.87814000000003,0.30935732,0,0.30935732
mz.423.93035,0.30915844,0,0.30915844
mz.619.98125,0.3090921,0,0.3090921
mz.261.928305,0.30901733,0,0.30901733
mz.386.027415,0.30862445,0,0.30862445
mz.465.99350000000004,0.30853847,0,0.30853847
mz.519.94044,0.3083979,0,0.3083979
mz.163.97838,0.3083956,0,0.3083956
mz.250.09428,0.3083449,0,0.3083449
mz.174.979425,0.30812547,0,0.30812547
mz.230.94974000000002,0.30773434,0,0.30773434
mz.809.94939,0.30772257,0,0.30772257
mz.963.4777899999999,0.307669,0,0.307669
mz.207.01463,0.30751374,0,0.30751374
mz.422.927135,0.30743563,0,0.30743563
mz.503.90564,0.30722094,0,0.30722094
mz.583.99119,0.30689517,0,0.30689517
mz.216.00967500000002,0.30650058,0,0.30650058
mz.350.90410999999995,0.30640402,0,0.30640402
mz.133.08065,0.30616298,0,0.30616298
mz.549.050195,0.30528414,0,0.30528414
mz.251.968185,0.3052526,0,0.3052526
mz.160.13376,0.3052479,0,0.3052479
mz.704.079875,0.3051476,0,0.3051476
mz.384.97213999999997,0.3048629,0,0.3048629
mz.603.20438,0.30468678,0,0.30468678
mz.215.015,0.30435976,0,0.30435976
mz.424.00203,0.30430588,0,0.30430588
mz.402.019995,0.30418932,0,0.30418932
mz.424.924985,0.30415094,0,0.30415094
mz.393.91748,0.30402297,0,0.30402297
mz.344.04864499999996,0.30387357,0,0.30387357
mz.410.005665,0.30356053,0,0.30356053
mz.381.80782,0.302812,0,0.302812
mz.714.449905,0.30278125,0,0.30278125
mz.393.915395,0.3026836,0,0.3026836
mz.582.0189,0.30240366,0,0.30240366
mz.703.069535,0.30195153,0,0.30195153
mz.562.009465,0.30189785,0,0.30189785
mz.420.91087,0.30160913,0,0.30160913
mz.522.0387350000001,0.30113262,0,0.30113262
mz.713.446105,0.30057305,0,0.30057305
mz.346.040595,0.30055293,0,0.30055293
mz.232.939725,0.30039075,0,0.30039075
mz.190.912325,0.3003477,0,0.3003477
mz.202.93759,0.30031678,0,0.30031678
mz.190.911915,0.30027825,0,0.30027825
