gene,msi,component,r,r_abs
Bc1,mz.398.13898,0,0.34255123,0.34255123
Slc17a7,mz.407.14256,0,0.34255022,0.34255022
Nrgn,mz.433.08094,0,0.34221935,0.34221935
Nrgn,mz.354.14918,0,0.3402645,0.3402645
Bc1,mz.427.13472,0,0.34025726,0.34025726
Olfm1,mz.697.2391,0,0.3398326,0.3398326
Mobp,mz.354.1128,0,-0.33942083,0.33942083
Pacs2,mz.862.09285,0,-0.3388626,0.3388626
Bc1,mz.432.08618,0,0.33874738,0.33874738
Nrgn,mz.427.14125,0,0.3384907,0.3384907
Nrgn,mz.383.14755,0,0.33744672,0.33744672
Nrgn,mz.398.13898,0,0.33742934,0.33742934
Bc1,mz.431.08294,0,0.33714944,0.33714944
Mobp,mz.383.14755,0,-0.33674586,0.33674586
Bc1,mz.427.14125,0,0.3366662,0.3366662
Olfm1,mz.432.08618,0,0.3366009,0.3366009
Slc17a7,mz.352.13361,0,0.33616713,0.33616713
Nrgn,mz.482.10025,0,0.33603793,0.33603793
Pacs2,mz.416.11226,0,-0.3358562,0.3358562
Rpl4,mz.326.11793,0,-0.33575213,0.33575213
Olfm1,mz.382.14402,0,0.3344282,0.3344282
Rpl4,mz.433.07846,0,-0.33431727,0.33431727
Nrgn,mz.433.07846,0,0.33400744,0.33400744
Bc1,mz.697.2391,0,0.3333986,0.3333986
Pacs2,mz.408.12338,0,-0.33282763,0.33282763
Rpl4,mz.556.05285,0,-0.33276534,0.33276534
Olfm1,mz.431.08294,0,0.33221796,0.33221796
Endod1,mz.554.0458,0,-0.33214074,0.33214074
Mobp,mz.427.14125,0,-0.33208978,0.33208978
Nrgn,mz.338.1179,0,0.3314178,0.3314178
Olfm1,mz.427.13472,0,0.33128554,0.33128554
Pacs2,mz.458.16003,0,-0.3309945,0.3309945
Mobp,mz.398.13898,0,-0.33026078,0.33026078
Bc1,mz.383.14755,0,0.32969403,0.32969403
Rpl4,mz.482.10025,0,-0.32921922,0.32921922
Mobp,mz.338.1179,0,-0.32902554,0.32902554
Pacs2,mz.482.10025,0,-0.3280131,0.3280131
Bc1,mz.862.09285,0,0.3277457,0.3277457
Mobp,mz.354.14918,0,-0.32727984,0.32727984
Nrgn,mz.431.08737,0,0.3267614,0.3267614
Mobp,mz.432.08618,0,-0.3265847,0.3265847
Mobp,mz.482.10025,0,-0.32645452,0.32645452
Bc1,mz.338.1179,0,0.3264006,0.3264006
Bc1,mz.326.11793,0,0.32626295,0.32626295
Bc1,mz.433.08094,0,0.32579756,0.32579756
Endod1,mz.697.23266,0,-0.3251871,0.3251871
Olfm1,mz.383.14755,0,0.32487032,0.32487032
Bc1,mz.415.10892,0,0.3247491,0.3247491
Nrgn,mz.427.13255,0,0.32444537,0.32444537
Bc1,mz.482.10025,0,0.32434604,0.32434604
Olfm1,mz.354.14918,0,0.3232772,0.3232772
Mobp,mz.556.05285,0,-0.3227781,0.3227781
Mobp,mz.326.11793,0,-0.32248688,0.32248688
Olfm1,mz.427.14125,0,0.32212928,0.32212928
Pacs2,mz.433.07846,0,-0.3218708,0.3218708
Rpl4,mz.408.12338,0,-0.32173282,0.32173282
Endod1,mz.555.04915,0,-0.32160616,0.32160616
Endod1,mz.698.23612,0,-0.32128394,0.32128394
Endod1,mz.697.2391,0,-0.32114935,0.32114935
Rpl4,mz.431.08737,0,-0.32086635,0.32086635
Rpl4,mz.458.16003,0,-0.32040343,0.32040343
Olfm1,mz.862.09285,0,0.320311,0.320311
Nrgn,mz.556.05285,0,0.31995854,0.31995854
Olfm1,mz.354.1128,0,0.31991208,0.31991208
Nrgn,mz.469.03851,0,0.31972116,0.31972116
Bc1,mz.427.13255,0,0.31969368,0.31969368
Mobp,mz.431.08294,0,-0.3196624,0.3196624
Endod1,mz.382.14402,0,-0.31957296,0.31957296
Nrgn,mz.458.16003,0,0.31937423,0.31937423
Endod1,mz.427.13472,0,-0.31928957,0.31928957
Olfm1,mz.398.13898,0,0.317945,0.317945
Endod1,mz.428.14952,0,-0.31779683,0.31779683
Mobp,mz.433.08094,0,-0.31739494,0.31739494
Bc1,mz.433.07846,0,0.31690416,0.31690416
Nrgn,mz.326.11793,0,0.3169021,0.3169021
Rpl4,mz.433.08939,0,-0.31674927,0.31674927
Nrgn,mz.415.10892,0,0.31654942,0.31654942
Olfm1,mz.433.08094,0,0.31566882,0.31566882
Mobp,mz.427.13255,0,-0.3143123,0.3143123
Olfm1,mz.338.1179,0,0.3141687,0.3141687
Nrgn,mz.408.12338,0,0.3141142,0.3141142
Rpl4,mz.469.03851,0,-0.31319663,0.31319663
Nnat,mz.554.0458,0,0.3125315,0.3125315
Bc1,mz.556.05285,0,0.31165034,0.31165034
Pacs2,mz.469.03851,0,-0.3112961,0.3112961
Slc17a7,mz.622.29085,0,0.31022233,0.31022233
Endod1,mz.427.14125,0,-0.31017044,0.31017044
Bc1,mz.469.03851,0,0.3094561,0.3094561
Pacs2,mz.453.06455,0,-0.30908784,0.30908784
Olfm1,mz.427.13255,0,0.30879065,0.30879065
Olfm1,mz.482.10025,0,0.30839464,0.30839464
Bc1,mz.458.16003,0,0.30793756,0.30793756
Nnat,mz.697.23266,0,0.30759335,0.30759335
Endod1,mz.431.08294,0,-0.30708253,0.30708253
Bc1,mz.408.12338,0,0.30707848,0.30707848
Mobp,mz.862.09285,0,-0.30691937,0.30691937
Endod1,mz.432.08618,0,-0.30675778,0.30675778
Rpl4,mz.453.06455,0,-0.30533454,0.30533454
Olfm1,mz.556.05285,0,0.30501622,0.30501622
Nnat,mz.698.23612,0,0.30499557,0.30499557
