gene,w,component,w_abs
Cmtm7,-5.9351314e-06,1,5.9351314e-06
Clip4,-5.9297927e-06,1,5.9297927e-06
Gm29100,5.9267095e-06,1,5.9267095e-06
Unc13c,5.9217364e-06,1,5.9217364e-06
AW549877,-5.9211034e-06,1,5.9211034e-06
Tnfsf13b,-5.9116383e-06,1,5.9116383e-06
Foxc1,-5.911519e-06,1,5.911519e-06
Immp2l,5.901061e-06,1,5.901061e-06
3110021N24Rik,-5.893986e-06,1,5.893986e-06
Aifm1,-5.8938294e-06,1,5.8938294e-06
Haus7,-5.889922e-06,1,5.889922e-06
Adipor2,5.871817e-06,1,5.871817e-06
Thbs3,-5.862259e-06,1,5.862259e-06
Nit1,5.8495525e-06,1,5.8495525e-06
Tagap1,-5.8363617e-06,1,5.8363617e-06
Nt5dc2,-5.7945663e-06,1,5.7945663e-06
Igsf6,-5.7919806e-06,1,5.7919806e-06
A530058N18Rik,-5.785856e-06,1,5.785856e-06
Clmp,-5.7784196e-06,1,5.7784196e-06
Rnf122,-5.777341e-06,1,5.777341e-06
Nanos3,-5.738336e-06,1,5.738336e-06
Snrk,5.7368757e-06,1,5.7368757e-06
Tgm1,-5.7066973e-06,1,5.7066973e-06
Snapc3,5.6751114e-06,1,5.6751114e-06
Tepp,-5.6677472e-06,1,5.6677472e-06
Ankrd26,-5.658501e-06,1,5.658501e-06
Glt8d1,-5.6581166e-06,1,5.6581166e-06
Rac1,5.6524427e-06,1,5.6524427e-06
Fes,-5.6424706e-06,1,5.6424706e-06
Eif2b3,5.6362287e-06,1,5.6362287e-06
Mgp,5.624896e-06,1,5.624896e-06
Eif2b4,5.614702e-06,1,5.614702e-06
Cacna2d2,-5.6071335e-06,1,5.6071335e-06
Gm17066,-5.585857e-06,1,5.585857e-06
mt-Atp6,5.576751e-06,1,5.576751e-06
Cmc4,5.5608784e-06,1,5.5608784e-06
Smtn,5.5318014e-06,1,5.5318014e-06
Ptpn20,-5.522919e-06,1,5.522919e-06
Gm28836,-5.5196806e-06,1,5.5196806e-06
Naxd,-5.517543e-06,1,5.517543e-06
Ifi35,5.515945e-06,1,5.515945e-06
Zfyve16,5.5130067e-06,1,5.5130067e-06
Mrpl32,5.497481e-06,1,5.497481e-06
Vangl2,-5.464183e-06,1,5.464183e-06
Cnn3,5.459299e-06,1,5.459299e-06
Limd1,-5.456974e-06,1,5.456974e-06
Cfap20,-5.455596e-06,1,5.455596e-06
Snta1,-5.4420307e-06,1,5.4420307e-06
Gid4,5.430501e-06,1,5.430501e-06
Rnd3,5.4234097e-06,1,5.4234097e-06
Vps4b,-5.4154384e-06,1,5.4154384e-06
Zfp101,-5.4096035e-06,1,5.4096035e-06
Cemip2,5.391006e-06,1,5.391006e-06
Slc39a9,5.375399e-06,1,5.375399e-06
