msi,w,component,w_abs
mz.703.14113,-0.352313,0,0.352313
mz.449.17775,0.3515106,0,0.3515106
mz.572.22561,-0.35115555,0,0.35115555
mz.714.26747,0.35095218,0,0.35095218
mz.704.15051,-0.35003033,0,0.35003033
mz.573.22368,-0.34989864,0,0.34989864
mz.380.12854,0.3493306,0,0.3493306
mz.289.12188,-0.3486969,0,0.3486969
mz.695.25359,0.34867105,0,0.34867105
mz.394.1305,0.347853,0,0.347853
mz.353.20156,0.34752724,0,0.34752724
mz.703.14768,-0.34719557,0,0.34719557
mz.464.08957,0.3470473,0,0.3470473
mz.703.15096,-0.3468327,0,0.3468327
mz.426.12352,0.34664974,0,0.34664974
mz.450.18976,0.34582967,0,0.34582967
mz.683.2535,0.3449827,0,0.3449827
mz.712.24374,0.3433661,0,0.3433661
mz.434.08453,0.34171826,0,0.34171826
mz.555.23285,0.34170556,0,0.34170556
mz.573.22107,-0.34123245,0,0.34123245
mz.700.23159,0.34088925,0,0.34088925
mz.703.13,-0.34083703,0,0.34083703
mz.170.85749,0.3407844,0,0.3407844
mz.432.08346,0.3404522,0,0.3404522
mz.574.23222,-0.34002358,0,0.34002358
mz.820.52425,0.33989683,0,0.33989683
mz.575.22899,-0.33975968,0,0.33975968
mz.679.22193,0.3392646,0,0.3392646
mz.498.15523,0.3387613,0,0.3387613
mz.888.24739,0.3387198,0,0.3387198
mz.574.2414,-0.33871922,0,0.33871922
mz.450.18117,0.3380522,0,0.3380522
mz.639.22816,0.33776808,0,0.33776808
mz.703.15947,-0.33751643,0,0.33751643
mz.704.14395,-0.33655608,0,0.33655608
mz.703.15423,-0.33618623,0,0.33618623
mz.229.29859,-0.3357762,0,0.3357762
mz.429.14378,0.33554164,0,0.33554164
mz.698.49196,0.3353071,0,0.3353071
mz.229.69991,-0.33434108,0,0.33434108
mz.807.13323,0.3334787,0,0.3334787
mz.308.10494,0.33324012,0,0.33324012
mz.576.24285,-0.3329808,0,0.3329808
mz.575.24477,-0.33222672,0,0.33222672
mz.821.14902,0.33050787,0,0.33050787
mz.454.06822,0.33003008,0,0.33003008
mz.423.18201,0.33002764,0,0.33002764
mz.370.10763,0.32985455,0,0.32985455
mz.652.23125,0.3282396,0,0.3282396
mz.298.14224,0.32777193,0,0.32777193
mz.573.21454,-0.32718468,0,0.32718468
mz.431.07728,0.32541016,0,0.32541016
mz.699.49516,0.32488105,0,0.32488105
mz.703.13393,-0.32412595,0,0.32412595
mz.290.12425,-0.32323757,0,0.32323757
mz.289.12343,-0.32263923,0,0.32263923
mz.840.33647,-0.32136232,0,0.32136232
mz.848.55532,0.32123014,0,0.32123014
mz.841.15484,0.32110634,0,0.32110634
mz.281.26431,-0.32085806,0,0.32085806
mz.846.53992,0.32075325,0,0.32075325
mz.191.08451,-0.320517,0,0.320517
mz.821.52703,0.32018906,0,0.32018906
mz.375.16225,0.3196178,0,0.3196178
mz.772.52412,0.31908587,0,0.31908587
mz.311.11815,0.31907642,0,0.31907642
mz.429.14134,0.3187749,0,0.3187749
mz.573.24283,-0.31867325,0,0.31867325
mz.325.17015,0.31802344,0,0.31802344
mz.631.23721,0.3175897,0,0.3175897
mz.297.13899,0.31628206,0,0.31628206
mz.289.12631,-0.31586343,0,0.31586343
mz.573.23761,-0.3154537,0,0.3154537
mz.714.25869,0.3153368,0,0.3153368
