gene,msi,component,r,r_abs
Rasd2,mz.288.973745,5,0.42379278,0.42379278
Lrrc10b,mz.286.97793,5,0.42331976,0.42331976
Lrrc10b,mz.286.97941000000003,5,0.42295033,0.42295033
Spock3,mz.296.99915,5,0.42209926,0.42209926
Adora2a,mz.286.97941000000003,5,0.42206478,0.42206478
Drd2,mz.573.92474,5,0.4218173,0.4218173
Rxrg,mz.296.99915,5,0.42101064,0.42101064
Rxrg,mz.573.92474,5,0.42071033,0.42071033
Adora2a,mz.312.973185,5,0.41988453,0.41988453
Ppp1r1b,mz.288.973745,5,0.41983148,0.41983148
Gpr6,mz.253.049875,5,0.41981828,0.41981828
Spock3,mz.275.01739,5,0.4192466,0.4192466
Pde10a,mz.271.00396,5,0.41777903,0.41777903
Lrrc10b,mz.288.973745,5,0.4173414,0.4173414
Gng7,mz.312.973185,5,0.41678178,0.41678178
Arpp21,mz.275.03193999999996,5,0.41675842,0.41675842
Penk,mz.286.97941000000003,5,0.4167517,0.4167517
Lrrc10b,mz.573.92474,5,0.41653693,0.41653693
Gng7,mz.275.03193999999996,5,0.41644865,0.41644865
Gpr88,mz.207.044645,5,0.41557467,0.41557467
Pde10a,mz.207.044645,5,0.4149616,0.4149616
Adora2a,mz.286.97793,5,0.41463482,0.41463482
Pde1b,mz.286.97941000000003,5,0.41386753,0.41386753
Pcp4l1,mz.253.049875,5,0.41379893,0.41379893
Pde10a,mz.271.00518,5,0.4125806,0.4125806
Pde1b,mz.286.97793,5,0.41128808,0.41128808
Rxrg,mz.288.973745,5,0.41077134,0.41077134
Rxrg,mz.275.01739,5,0.40946037,0.40946037
Pde10a,mz.541.97996,5,0.40904063,0.40904063
Ppp1r1b,mz.207.044645,5,0.40868127,0.40868127
Rgs9,mz.312.973185,5,0.4083634,0.4083634
Penk,mz.286.97793,5,0.40830773,0.40830773
Arpp21,mz.312.973185,5,0.40613872,0.40613872
Bcl11b,mz.275.03193999999996,5,0.40593654,0.40593654
Adcy5,mz.286.97941000000003,5,0.4055873,0.4055873
Drd2,mz.288.973745,5,0.4054604,0.4054604
Scn4b,mz.312.973185,5,0.4052907,0.4052907
Gpr6,mz.275.03193999999996,5,0.40407187,0.40407187
Rasd2,mz.207.044645,5,0.4035976,0.4035976
Adora2a,mz.573.92474,5,0.40348098,0.40348098
Penk,mz.550.0064150000001,5,0.40346074,0.40346074
Pde10a,mz.272.99984,5,0.40325952,0.40325952
Foxp1,mz.253.049875,5,0.40289545,0.40289545
Syndig1l,mz.312.973185,5,0.40284282,0.40284282
Adcy5,mz.286.97793,5,0.40280873,0.40280873
Ppp1r1b,mz.288.976055,5,0.40235496,0.40235496
Pde1b,mz.573.92474,5,0.40195617,0.40195617
Pcp4l1,mz.275.01739,5,0.4019228,0.4019228
Spock3,mz.275.03193999999996,5,0.4018668,0.4018668
Rasd2,mz.288.976055,5,0.40169778,0.40169778
Penk,mz.207.044645,5,0.40168047,0.40168047
Bcl11b,mz.275.01739,5,0.4014814,0.4014814
Pcp4l1,mz.296.99915,5,0.4008948,0.4008948
Drd2,mz.207.044645,5,0.4007907,0.4007907
Hpca,mz.253.049875,5,0.40006828,0.40006828
Calb1,mz.253.049875,5,0.4000369,0.4000369
Penk,mz.573.92474,5,0.39652348,0.39652348
Gpr88,mz.271.00396,5,0.39650473,0.39650473
Foxp1,mz.275.03193999999996,5,0.3959913,0.3959913
Rgs9,mz.286.97941000000003,5,0.395926,0.395926
Scn4b,mz.288.976055,5,0.3958978,0.3958978
Meis2,mz.296.99915,5,0.39560682,0.39560682
Drd2,mz.288.976055,5,0.39538193,0.39538193
Pcp4l1,mz.275.03193999999996,5,0.3950476,0.3950476
Calb1,mz.275.01739,5,0.39490172,0.39490172
Gpr6,mz.296.99915,5,0.39484686,0.39484686
Adcy5,mz.573.92474,5,0.3946462,0.3946462
Calb1,mz.296.99915,5,0.3934473,0.3934473
Rgs9,mz.286.97793,5,0.3930894,0.3930894
Pcp4,mz.275.03193999999996,5,0.39258236,0.39258236
Adora2a,mz.288.973745,5,0.39231876,0.39231876
Pcp4,mz.253.049875,5,0.39196187,0.39196187
Pde1b,mz.288.973745,5,0.3919323,0.3919323
Syndig1l,mz.288.976055,5,0.39175746,0.39175746
Bcl11b,mz.296.99915,5,0.39163578,0.39163578
Gpr88,mz.550.0064150000001,5,0.39150286,0.39150286
Lrrc10b,mz.275.01739,5,0.39120662,0.39120662
Gpr88,mz.271.00518,5,0.39116323,0.39116323
Lrrc10b,mz.296.99915,5,0.39111906,0.39111906
Tesc,mz.253.049875,5,0.3907755,0.3907755
Gpr88,mz.541.97996,5,0.38993067,0.38993067
Penk,mz.288.973745,5,0.38721454,0.38721454
Gpr88,mz.272.99984,5,0.3871812,0.3871812
Hpca,mz.275.03193999999996,5,0.38667953,0.38667953
Syndig1l,mz.207.044645,5,0.38642824,0.38642824
Bcl11b,mz.312.973185,5,0.3859867,0.3859867
Scn4b,mz.506.07591,5,0.38566756,0.38566756
Adcy5,mz.288.973745,5,0.385643,0.385643
Inf2,mz.253.049875,5,0.38544744,0.38544744
Calb1,mz.275.03193999999996,5,0.38481784,0.38481784
Gpr88,mz.287.96182,5,0.38470742,0.38470742
Arpp21,mz.286.97793,5,0.38452148,0.38452148
Rasd2,mz.506.07591,5,0.38378388,0.38378388
Spock3,mz.286.97941000000003,5,0.38349766,0.38349766
Rgs9,mz.573.92474,5,0.38329762,0.38329762
Rxrg,mz.288.976055,5,0.3828955,0.3828955
Arpp21,mz.286.97941000000003,5,0.3828939,0.3828939
Adora2a,mz.288.976055,5,0.38276845,0.38276845
Drd1,mz.253.049875,5,0.38267094,0.38267094
Rasd2,mz.271.00396,5,0.3823741,0.3823741
Pde1b,mz.288.976055,5,0.38206673,0.38206673
Adcy5,mz.207.044645,5,0.3812281,0.3812281
Ppp1r1b,mz.550.0064150000001,5,0.38089186,0.38089186
Vsnl1,mz.253.049875,5,-0.38064784,0.38064784
Pde10a,mz.506.07591,5,0.3806181,0.3806181
Gpr88,mz.506.07591,5,0.38059208,0.38059208
Spock3,mz.286.97793,5,0.38003647,0.38003647
Vsnl1,mz.275.01739,5,-0.37953156,0.37953156
Necab2,mz.296.99915,5,0.3794772,0.3794772
Pde10a,mz.287.96182,5,0.3792535,0.3792535
Ppp1r1b,mz.271.00396,5,0.3786742,0.3786742
Lrrc10b,mz.207.044645,5,0.37867016,0.37867016
Syndig1l,mz.271.00396,5,0.37818244,0.37818244
Arpp21,mz.573.92474,5,0.3778749,0.3778749
Calb1,mz.312.973185,5,0.37729084,0.37729084
Vsnl1,mz.296.99915,5,-0.37670425,0.37670425
Meis2,mz.275.01739,5,0.3766787,0.3766787
Rasd2,mz.271.00518,5,0.3764345,0.3764345
Lrrc10b,mz.271.00396,5,0.37621504,0.37621504
Inf2,mz.275.03193999999996,5,0.37585467,0.37585467
Rasd2,mz.550.0064150000001,5,0.3757214,0.3757214
Gng7,mz.286.97941000000003,5,0.3755263,0.3755263
Vsnl1,mz.286.97941000000003,5,-0.3753387,0.3753387
Rgs9,mz.288.973745,5,0.37525126,0.37525126
Pde1b,mz.207.044645,5,0.37489146,0.37489146
Scn4b,mz.271.00396,5,0.3745681,0.3745681
Rasd2,mz.541.97996,5,0.37453786,0.37453786
Gng7,mz.286.97793,5,0.37362435,0.37362435
Ppp1r1b,mz.272.99984,5,0.3733611,0.3733611
Scn4b,mz.272.99984,5,0.37309176,0.37309176
Ppp1r1b,mz.271.00518,5,0.3729893,0.3729893
Ppp3ca,mz.253.049875,5,0.3728975,0.3728975
Gng7,mz.550.0064150000001,5,0.37286404,0.37286404
Syndig1l,mz.541.97996,5,0.37262356,0.37262356
Spock3,mz.573.92474,5,0.37250093,0.37250093
Ptpn5,mz.296.99915,5,0.37221986,0.37221986
Syndig1l,mz.271.00518,5,0.37193722,0.37193722
Ppp1r1b,mz.541.97996,5,0.37178662,0.37178662
Olfm1,mz.296.99915,5,-0.3717665,0.3717665
Scn4b,mz.271.00518,5,0.37158573,0.37158573
Penk,mz.288.976055,5,0.37132123,0.37132123
Gpr6,mz.275.01739,5,0.370875,0.370875
Lrrc10b,mz.288.976055,5,0.37056917,0.37056917
Tesc,mz.275.03193999999996,5,0.37034905,0.37034905
Rasd2,mz.272.99984,5,0.370333,0.370333
Lrrc10b,mz.271.00518,5,0.37010044,0.37010044
Pde10a,mz.550.0064150000001,5,0.36989135,0.36989135
Drd2,mz.271.00396,5,0.36988312,0.36988312
Pde1b,mz.550.0064150000001,5,0.36973178,0.36973178
Spock3,mz.312.973185,5,0.3697214,0.3697214
Syndig1l,mz.506.07591,5,0.3695317,0.3695317
Syndig1l,mz.287.96182,5,0.36936176,0.36936176
Lrrc10b,mz.541.97996,5,0.36879328,0.36879328
Adcy5,mz.550.0064150000001,5,0.36773747,0.36773747
Syndig1l,mz.272.99984,5,0.36772305,0.36772305
Adcy5,mz.288.976055,5,0.36769387,0.36769387
Foxp1,mz.275.01739,5,0.36755753,0.36755753
Rasgrp2,mz.253.049875,5,0.36751127,0.36751127
Ptpn5,mz.275.01739,5,0.36744156,0.36744156
Gpr6,mz.286.97941000000003,5,0.3670897,0.3670897
Drd2,mz.271.00518,5,0.36680338,0.36680338
Ppp1r1b,mz.287.96182,5,0.36679873,0.36679873
Vsnl1,mz.286.97793,5,-0.366559,0.366559
Rxrg,mz.207.044645,5,0.36628428,0.36628428
Drd2,mz.550.0064150000001,5,0.3662023,0.3662023
Foxp1,mz.296.99915,5,0.3661017,0.3661017
Rgs9,mz.288.976055,5,0.36609358,0.36609358
Gpr6,mz.312.973185,5,0.36600325,0.36600325
Pde10a,mz.573.92018,5,0.36581802,0.36581802
Rasgrp2,mz.275.03193999999996,5,0.3656693,0.3656693
Gng7,mz.573.92474,5,0.36557305,0.36557305
Scn4b,mz.207.044645,5,0.3652224,0.3652224
Drd2,mz.272.99984,5,0.36515856,0.36515856
Olfm1,mz.275.01739,5,-0.3650779,0.3650779
Spock3,mz.288.973745,5,0.36485153,0.36485153
Scn4b,mz.541.97996,5,0.36463794,0.36463794
Adora2a,mz.550.0064150000001,5,0.3644433,0.3644433
Foxp1,mz.312.973185,5,0.3631882,0.3631882
Pcp4l1,mz.286.97793,5,0.36281484,0.36281484
Rxrg,mz.271.00396,5,0.3627909,0.3627909
Ptpn5,mz.253.049875,5,0.36234593,0.36234593
Arpp21,mz.288.973745,5,0.3620541,0.3620541
Adora2a,mz.207.044645,5,0.36174637,0.36174637
Drd1,mz.296.99915,5,0.36173004,0.36173004
Scn4b,mz.550.0064150000001,5,0.3612477,0.3612477
Drd1,mz.275.01739,5,0.36111236,0.36111236
Penk,mz.271.00396,5,0.360669,0.360669
Pcp4l1,mz.286.97941000000003,5,0.36012438,0.36012438
Rasd2,mz.287.96182,5,0.3600358,0.3600358
Vsnl1,mz.275.03193999999996,5,-0.35967228,0.35967228
Pcp4l1,mz.312.973185,5,0.35960922,0.35960922
Bcl11b,mz.286.97941000000003,5,0.3594994,0.3594994
Rxrg,mz.272.99984,5,0.35929066,0.35929066
Pcp4l1,mz.573.92474,5,0.3591819,0.3591819
Penk,mz.272.99984,5,0.35904014,0.35904014
Drd2,mz.541.97996,5,0.358876,0.358876
Spock3,mz.207.044645,5,0.35832682,0.35832682
Penk,mz.271.00518,5,0.35798034,0.35798034
Rxrg,mz.541.97996,5,0.3578479,0.3578479
Pde1b,mz.287.96182,5,0.35759813,0.35759813
Rxrg,mz.312.973185,5,0.35714623,0.35714623
Necab2,mz.275.01739,5,0.35686755,0.35686755
Vsnl1,mz.573.92474,5,-0.3567503,0.3567503
Rxrg,mz.271.00518,5,0.35663053,0.35663053
Lrrc10b,mz.272.99984,5,0.35647726,0.35647726
Gng7,mz.288.973745,5,0.35644084,0.35644084
Arpp21,mz.288.976055,5,0.356184,0.356184
Gpr6,mz.286.97793,5,0.35591388,0.35591388
Gng7,mz.207.044645,5,0.35575056,0.35575056
Arpp21,mz.207.044645,5,0.35572904,0.35572904
Hpca,mz.275.01739,5,0.35456514,0.35456514
Scn4b,mz.573.92018,5,0.35390747,0.35390747
Rxrg,mz.287.96182,5,0.35359326,0.35359326
Inf2,mz.286.97941000000003,5,0.3531633,0.3531633
Tesc,mz.275.01739,5,0.35315347,0.35315347
Penk,mz.287.96182,5,0.3530627,0.3530627
Hpca,mz.296.99915,5,0.35281825,0.35281825
Bcl11b,mz.286.97793,5,0.35189134,0.35189134
Pde1b,mz.271.00396,5,0.35153145,0.35153145
Tac1,mz.296.99915,5,0.35147434,0.35147434
Ptpn5,mz.275.03193999999996,5,0.35131946,0.35131946
Calb1,mz.286.97941000000003,5,0.3513002,0.3513002
Ptpn5,mz.312.973185,5,0.35113037,0.35113037
Penk,mz.541.97996,5,0.35105962,0.35105962
Calb1,mz.286.97793,5,0.35102803,0.35102803
Rasd2,mz.573.92018,5,0.35098436,0.35098436
Adora2a,mz.271.00396,5,0.35042313,0.35042313
Inf2,mz.286.97793,5,0.34957895,0.34957895
Inf2,mz.275.01739,5,0.34937754,0.34937754
Lrrc10b,mz.312.973185,5,0.3491884,0.3491884
Stmn1,mz.275.01739,5,-0.34915134,0.34915134
Adora2a,mz.271.00518,5,0.34889373,0.34889373
Ppp3ca,mz.275.03193999999996,5,0.3486067,0.3486067
Stmn1,mz.296.99915,5,-0.34830815,0.34830815
Pcp4l1,mz.288.973745,5,0.34818923,0.34818923
Arpp21,mz.550.0064150000001,5,0.3479519,0.3479519
Rgs9,mz.207.044645,5,0.347866,0.347866
Tmem158,mz.296.99915,5,0.3475046,0.3475046
Vsnl1,mz.312.973185,5,-0.34680665,0.34680665
Penk,mz.506.07591,5,0.34662968,0.34662968
Pde1b,mz.271.00518,5,0.34650722,0.34650722
Pcp4,mz.286.97793,5,0.3462719,0.3462719
Calb1,mz.573.92474,5,0.3461541,0.3461541
Pde10a,mz.251.961865,5,0.34611937,0.34611937
Adora2a,mz.272.99984,5,0.34580928,0.34580928
Pde1b,mz.541.97996,5,0.34564298,0.34564298
Syndig1l,mz.550.0064150000001,5,0.34543866,0.34543866
Hpca,mz.286.97793,5,0.3454141,0.3454141
Gpr6,mz.573.92474,5,0.34499305,0.34499305
Pcp4,mz.286.97941000000003,5,0.3449499,0.3449499
Tac1,mz.253.049875,5,0.34480262,0.34480262
Necab2,mz.312.973185,5,0.34451598,0.34451598
Ppp1r1b,mz.506.07591,5,0.34410316,0.34410316
Dmkn,mz.275.03193999999996,5,0.3440299,0.3440299
Drd2,mz.287.96182,5,0.34383768,0.34383768
Drd2,mz.506.07591,5,0.34372404,0.34372404
Rgs9,mz.550.0064150000001,5,0.3434245,0.3434245
Bcl11b,mz.573.92474,5,0.34327084,0.34327084
Necab2,mz.253.049875,5,0.3432532,0.3432532
Meis2,mz.312.973185,5,0.34285393,0.34285393
Pde1b,mz.272.99984,5,0.34269837,0.34269837
Pcp4,mz.288.973745,5,0.34258416,0.34258416
Adora2a,mz.506.07591,5,0.34179485,0.34179485
Foxp1,mz.286.97941000000003,5,0.34177804,0.34177804
Inf2,mz.573.92474,5,0.34159252,0.34159252
Hpca,mz.573.92474,5,0.34153557,0.34153557
Hpca,mz.286.97941000000003,5,0.34068748,0.34068748
